group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,450,550,343,461,32.36493939499661,32.15181876377115,-0.21312063122545472,-0.18889026970957978,-1.9235717109199721,1.4718681215223257,-8.236083278362944,5.7902658039707475,-0.00032205498218536375
baseline_strength_bin,baseline_middle_50,500,230,270,179,236,32.42350853462665,32.1635136701675,-0.25999486445915115,-0.205299174027207,-2.19657988639551,1.5548779297587625,-8.236083278362944,4.395366324440381,-0.0004161638021469116
baseline_strength_bin,baseline_strongest_25,250,89,161,58,127,38.91198967822446,38.50045918361862,-0.41153049460584135,-0.33263311855373345,-1.697377054646749,0.735442650704627,-4.535445276289487,2.646561247559397,-0.0003057255744934082
baseline_strength_bin,baseline_weakest_25,250,131,119,106,98,25.70075083250868,25.779788531131008,0.07903769862232471,0.10108109678023425,-1.736774247244907,1.7630168252453826,-4.943454210307035,5.7902658039707475,-0.00015016674995422364
airlight_bin,0.65<=A<0.75,194,88,106,67,86,32.70809198647196,32.56382043413111,-0.1442715523408559,-0.18095553284201138,-2.003811166727259,1.6080265595694085,-4.225086750098065,3.7513716659416545,-0.00022049017788208636
airlight_bin,0.75<=A<0.85,210,92,118,75,99,32.46682063551903,32.23640347008208,-0.23041716543694565,-0.22631504939187153,-1.8816554963242274,1.4225587946671003,-6.102797284205156,3.247244581526097,-0.0003851203691391718
airlight_bin,0.85<=A<0.95,175,92,83,68,71,31.403166354801773,31.33478204522497,-0.06838430957679689,0.04184806994145873,-1.6856915384284845,1.3725235143639798,-4.228945368952541,3.367209853198858,-0.0003021853310721261
airlight_bin,A<0.65,295,130,165,100,138,33.50005119745763,33.21711070790356,-0.28294048955407874,-0.21475536237092285,-2.275465399835228,1.4959499328292192,-4.535445276289487,5.7902658039707475,-0.0003589030039512505
airlight_bin,A>=0.95,126,48,78,33,67,30.344984133505896,30.017129794337823,-0.32785433916807466,-0.33948380052155436,-1.6216818223370346,1.109007493255131,-8.236083278362944,3.1056583718275164,-0.0003146491353473966
beta_bin,0.8<=beta<1.1,188,76,112,59,91,32.86668052739892,32.53810233917409,-0.3285781882248322,-0.22974542434005762,-1.9427568426338648,1.2927310273286956,-8.236083278362944,5.7902658039707475,-0.00022833524866307036
beta_bin,1.1<=beta<1.4,199,100,99,80,88,32.12916726381388,32.103333339115295,-0.025833924698577402,0.005065105571297579,-1.9888872501229762,1.8803791094021958,-4.416400483647454,3.9312599427167996,0.00032225685503015566
beta_bin,1.4<=beta<1.7,199,93,106,73,93,31.338091119851143,31.09374329903677,-0.24434782081437165,-0.12384065750823581,-1.7982582093033515,1.3792097425519332,-4.943454210307035,2.836698906242191,-0.0002951472248863335
beta_bin,beta<0.8,196,91,105,68,87,35.428068908808235,35.19548943991108,-0.23257946889715012,-0.14566036098289814,-1.8590150628157058,1.256553348899697,-4.535445276289487,3.367209853198858,-0.00027679575949299094
beta_bin,beta>=1.7,218,90,128,63,102,30.330814364081938,30.092299737576116,-0.23851462650581648,-0.2535229877949092,-1.9565413054957708,1.5581111146514548,-4.225086750098065,4.395366324440381,-0.0010562880870399124
airlight_beta_bin,0.65<=A<0.75 | 0.8<=beta<1.1,31,11,20,7,14,34.0264949594303,33.82238090624892,-0.20411405318139036,-0.21370977609021224,-1.8855207652530765,1.2937590762289872,-3.0423276134191113,3.7513716659416545,0.00037145422350975775
airlight_beta_bin,0.65<=A<0.75 | 1.1<=beta<1.4,39,20,19,13,14,32.021792652003775,31.944966781536177,-0.0768258704676012,0.03858707910067238,-1.9097543169962647,1.463565711028335,-2.7040234183071767,2.1824053232672505,0.0006045255905542618
airlight_beta_bin,0.65<=A<0.75 | 1.4<=beta<1.7,40,19,21,15,19,32.04246314808191,31.98315959927905,-0.05930354880285797,-0.16680694249340533,-1.3608196513418864,1.7779796136095964,-3.330110506100244,2.576053396411261,-0.00014219433069229126
airlight_beta_bin,0.65<=A<0.75 | beta<0.8,42,21,21,18,18,35.33419973181715,35.199174328155,-0.13502540366214738,-0.025562160976628334,-2.1827912628177963,1.619056973599947,-3.7318967571797046,2.646561247559397,-0.0003679451488313221
