feature_set,gain_vs_cr_mean,gain_vs_cr_std,gain_vs_lfv1_mean,gain_vs_lfv1_std,head,intervention_precision_mean,intervention_precision_std,intervention_rate_mean,intervention_rate_std,mean_oracle_c_mean,mean_oracle_c_std,mean_pred_c_mean,mean_pred_c_std,oracle_recovery_mean,oracle_recovery_std,passes_main_line,passes_stability_line,pred_lfv1_delta_corr_mean,pred_lfv1_delta_corr_std,pred_oracle_c_corr_mean,pred_oracle_c_corr_std,preserve_recall_mean,preserve_recall_std,regression_improve_recall_mean,regression_improve_recall_std,split_family,splits,strong_cr_regression_improve_recall_mean,strong_cr_regression_improve_recall_std
hazy_wavelet,0.7714346822449741,0.04681099193287184,0.7882677172132005,0.033072055266749445,sklearn_hgb,0.4916515719870141,0.025057675944659262,1.0,0.0,0.4976427787997504,0.010528554182789997,0.49936215749853236,0.006695335545615341,0.6929461167197204,0.03339617345006267,False,False,0.22248879075050354,0.03546629488878993,0.22165568470954894,0.04211915999822268,0.6002852460567965,0.03517060872494239,1.0,0.0,airlight_bin,5,1.0,0.0
hazy_wavelet,0.7702917118309642,0.07099920256745564,0.7846875882398692,0.06378751459483942,sklearn_hgb,0.4847334887884537,0.030726383766851276,1.0,0.0,0.49764052108615375,0.01650295774350085,0.4975546252367386,0.0087944774623078,0.6834188700262716,0.039807125617900535,False,False,0.20394226014614106,0.03787319176421987,0.20119961202144623,0.04051292250717054,0.5932415538085218,0.03265064596555907,1.0,0.0,beta_bin,5,1.0,0.0
hazy_wavelet,0.7866291039460572,0.013285824371380928,0.7785410929972514,0.016980607958471568,sklearn_hgb,0.48939497687922523,0.001983955326054482,1.0,0.0,0.5031637800692997,0.005648439860864473,0.49575013120058503,0.001971048640076291,0.6868051240530098,0.010996711955109258,False,False,0.2319975644350052,0.005251292095244813,0.24599159260590872,0.018741412779507253,0.5881779860013264,0.02790120194142307,1.0,0.0,random_image,3,1.0,0.0
hazy_wavelet,0.7500984561316855,0.04235611755256062,0.766931491099912,0.031989741004733716,sklearn_ridge,0.4511614782644636,0.02380631689461476,1.0,0.0,0.4976427787997504,0.010528554182789997,0.49792278944544793,0.003561392956003772,0.674296403000427,0.034588631681856066,False,False,0.08836981505155564,0.02177428829575975,0.08859001770615578,0.029213334711516395,0.5910643770006117,0.029432537479467672,1.0,0.0,airlight_bin,5,1.0,0.0
hazy_wavelet,0.749920728147201,0.0694521665379898,0.764316604556106,0.06449462082561493,sklearn_ridge,0.4469536275837789,0.02884503206770785,1.0,0.0,0.49764052108615375,0.01650295774350085,0.4975247349253065,0.008505217167743072,0.6657680009409371,0.0434726233232834,False,False,0.07367144227027893,0.025518087720009585,0.07409304827451706,0.021864994763791595,0.5834666114012235,0.03157831926884154,1.0,0.0,beta_bin,5,1.0,0.0
hazy_wavelet,0.7548246207867848,0.04456591404785963,0.7610683549486978,0.016900807031697468,sklearn_ridge,0.44851939251324807,0.0032390189278839326,1.0,0.0,0.498953989488057,0.00618491530863609,0.4965052707129054,0.002906652601169398,0.6760110410940922,0.003990104431457907,False,False,0.11139841626087825,0.004623961863244544,0.10608896613121033,0.00925607753569801,0.5760161386527153,0.010586568841393609,1.0,0.0,random_image,3,1.0,0.0
hazy_wavelet_plus_teacher_outputs,0.7987919305630499,0.043139088263266616,0.8156249655312763,0.040636837491121756,sklearn_hgb,0.5112585839886902,0.02872727871200738,1.0,0.0,0.4976427787997504,0.010528554182789997,0.496516021945423,0.0017338089353829405,0.7169585253111527,0.03861334217765794,False,False,0.35248262882232667,0.05614123512883328,0.3552789956331253,0.06738205450879485,0.6082509748573892,0.032620639755922776,1.0,0.0,airlight_bin,5,1.0,0.0
hazy_wavelet_plus_teacher_outputs,0.8035272855497055,0.0706048702985715,0.8179231619586105,0.06303729842171545,sklearn_hgb,0.5290011742593566,0.04151169919156546,1.0,0.0,0.49764052108615375,0.01650295774350085,0.4963260266273385,0.01870990302042334,0.7124328102117967,0.03818124153892796,False,False,0.362960547208786,0.03635303271975892,0.37184922099113465,0.04372828493274119,0.6060170512245195,0.025598458065335748,1.0,0.0,beta_bin,5,1.0,0.0
hazy_wavelet_plus_teacher_outputs,0.7959181277632107,0.017374577680830318,0.8356416168692556,0.018201654103913875,sklearn_hgb,0.5320089062139214,0.00594289534482547,1.0,0.0,0.4948582920873681,0.003980337988678661,0.4974242238203685,0.0017019045707440587,0.7304198423923687,0.004335734035905148,False,False,0.3635899821917216,0.00576486535213226,0.37510597705841064,0.012598918096066633,0.6275489710937784,0.0024908873537200877,1.0,0.0,random_image,3,1.0,0.0
hazy_wavelet_plus_teacher_outputs,0.765558979112788,0.03973497966411968,0.7823920140810146,0.03785438896111259,sklearn_ridge,0.48864331035361097,0.026302681888046364,1.0,0.0,0.4976427787997504,0.010528554182789997,0.4961383843231699,0.002843269301500774,0.6879012798805311,0.03893773534757204,False,False,0.23254178762435912,0.040779937035377384,0.23625355660915376,0.03707841825239473,0.5971888800145576,0.031211129044580187,0.9994738018781296,0.0006990445349283453,airlight_bin,5,0.9992753623188406,0.0014492753623188469
