feature,feature_class,corr_with_residual_delta_lfv1_psnr,abs_corr
rescalib_from_lfv1_residual_error_ratio,gt_aware_diagnostic,-0.9928016114412628,0.9928016114412628
residual_color_regression_vs_lfv1,gt_aware_diagnostic,-0.9075466025567132,0.9075466025567132
rescalib_from_lfv1_residual_cosine,gt_aware_diagnostic,0.8837405365870208,0.8837405365870208
rescalib_from_lfv1_luma_residual_cosine,gt_aware_diagnostic,0.8745419872286042,0.8745419872286042
rescalib_from_baseline_residual_error_ratio,gt_aware_diagnostic,-0.7575924911046394,0.7575924911046394
rescalib_from_baseline_residual_cosine,gt_aware_diagnostic,0.7030419340542299,0.7030419340542299
rescalib_from_baseline_luma_residual_cosine,gt_aware_diagnostic,0.6962277999626435,0.6962277999626435
residual_luma_abs_bias_regression_vs_lfv1,gt_aware_diagnostic,-0.6956341075220955,0.6956341075220955
residual_dark_channel_abs_bias_regression_vs_lfv1,gt_aware_diagnostic,-0.6738295345483355,0.6738295345483355
rescalib_from_lfv1_lf_mse_delta,gt_aware_diagnostic,-0.6228484222844382,0.6228484222844382
residual_edge_error_regression_vs_lfv1,gt_aware_diagnostic,-0.6090590545000879,0.6090590545000879
residual_lfv1_dark_channel_mean_delta,proxy_or_output_feature,0.5774551748628247,0.5774551748628247
residual_lfv1_luma_mean_delta,proxy_or_output_feature,0.5686804926922503,0.5686804926922503
lfv1_dark_channel_mean,proxy_or_output_feature,-0.5575209941497319,0.5575209941497319
baseline_dark_channel_mean,proxy_or_output_feature,-0.5465658629653117,0.5465658629653117
residual_dark_channel_mean,proxy_or_output_feature,-0.5385837216660047,0.5385837216660047
rescalib_from_baseline_lf_mse_delta,gt_aware_diagnostic,-0.519380346122728,0.519380346122728
residual_lfv1_edge_mean_delta,proxy_or_output_feature,-0.4694489718301084,0.4694489718301084
residual_lfv1_lap_var_delta,proxy_or_output_feature,-0.4680867447986018,0.4680867447986018
residual_lfv1_luma_std_delta_abs,proxy_or_output_feature,-0.45487086423464373,0.45487086423464373
residual_lfv1_highfreq_abs_mean_delta,proxy_or_output_feature,-0.45044455840276515,0.45044455840276515
lfv1_highfreq_abs_mean,proxy_or_output_feature,0.4450850680963122,0.4450850680963122
baseline_highfreq_abs_mean,proxy_or_output_feature,0.440201796343673,0.440201796343673
residual_highfreq_abs_mean,proxy_or_output_feature,0.43756260927844043,0.43756260927844043
lfv1_saturation_mean,proxy_or_output_feature,0.4334465791321874,0.4334465791321874
baseline_saturation_mean,proxy_or_output_feature,0.4245149451316649,0.4245149451316649
lfv1_edge_mean,proxy_or_output_feature,0.42163983183700393,0.42163983183700393
residual_saturation_mean,proxy_or_output_feature,0.41974027817364923,0.41974027817364923
lfv1_lap_var,proxy_or_output_feature,0.41762854696949137,0.41762854696949137
baseline_edge_mean,proxy_or_output_feature,0.4167577697163606,0.4167577697163606
residual_edge_mean,proxy_or_output_feature,0.4131290953782408,0.4131290953782408
baseline_lap_var,proxy_or_output_feature,0.409201445069742,0.409201445069742
residual_lap_var,proxy_or_output_feature,0.40072523924713405,0.40072523924713405
residual_delta_e_p95,gt_aware_diagnostic,-0.37667308846847347,0.37667308846847347
lfv1_luma_mean,proxy_or_output_feature,-0.36102250785636025,0.36102250785636025
baseline_luma_mean,proxy_or_output_feature,-0.3526513890584408,0.3526513890584408
residual_lfv1_saturation_mean_delta,proxy_or_output_feature,-0.337467155584542,0.337467155584542
residual_rmse,gt_aware_diagnostic,-0.3342491842919808,0.3342491842919808
residual_luma_mean,proxy_or_output_feature,-0.33370486206110667,0.33370486206110667
residual_lfv1_luma_mean_delta_abs,proxy_or_output_feature,-0.3195760162503445,0.3195760162503445
residual_mae,gt_aware_diagnostic,-0.29320168505471056,0.29320168505471056
residual_luma_abs_bias,gt_aware_diagnostic,-0.28100042602843606,0.28100042602843606
residual_luma_bias,gt_aware_diagnostic,0.27707330178171213,0.27707330178171213
rescalib_from_baseline_residual_norm_ratio,gt_aware_diagnostic,-0.27219264750126243,0.27219264750126243
lfv1_from_baseline_residual_error_ratio,gt_aware_diagnostic,0.26055467454313874,0.26055467454313874
residual_lfv1_dark_channel_mean_delta_abs,proxy_or_output_feature,-0.23991454656172048,0.23991454656172048
residual_delta_e_mean,gt_aware_diagnostic,-0.22239078749287028,0.22239078749287028
rescalib_from_lfv1_residual_norm_ratio,gt_aware_diagnostic,-0.2214289111449195,0.2214289111449195
lfv1_from_baseline_residual_cosine,gt_aware_diagnostic,-0.21739839788401535,0.21739839788401535
lfv1_from_baseline_luma_residual_cosine,gt_aware_diagnostic,-0.19901654688604717,0.19901654688604717
lfv1_saturation_abs_bias,gt_aware_diagnostic,0.1758989699724348,0.1758989699724348
baseline_luma_bias,gt_aware_diagnostic,0.17367308453988065,0.17367308453988065
lfv1_edge_error,gt_aware_diagnostic,0.17098379507357417,0.17098379507357417
baseline_saturation_abs_bias,gt_aware_diagnostic,0.16718515527282238,0.16718515527282238
residual_lfv1_luma_std_delta,proxy_or_output_feature,-0.16324342459737815,0.16324342459737815
residual_lfv1_saturation_mean_delta_abs,proxy_or_output_feature,0.14974120906840066,0.14974120906840066
lfv1_luma_bias,gt_aware_diagnostic,0.14870854222707916,0.14870854222707916
baseline_delta_e_p95,gt_aware_diagnostic,-0.13529364309340383,0.13529364309340383
residual_luma_std,proxy_or_output_feature,-0.13152098189136238,0.13152098189136238
beta,proxy_or_output_feature,0.12251548925857395,0.12251548925857395
residual_lfv1_edge_mean_delta_abs,proxy_or_output_feature,-0.12192105937853301,0.12192105937853301
residual_luma_std_delta,gt_aware_diagnostic,-0.11884587501807016,0.11884587501807016
residual_dark_channel_abs_bias,gt_aware_diagnostic,-0.11364927266215485,0.11364927266215485
residual_saturation_abs_bias,gt_aware_diagnostic,0.11093112716535355,0.11093112716535355
lfv1_delta_e_p95,gt_aware_diagnostic,-0.11050687195784546,0.11050687195784546
baseline_rmse,gt_aware_diagnostic,-0.10950594813779468,0.10950594813779468
lfv1_luma_std,proxy_or_output_feature,-0.10878642808415583,0.10878642808415583
baseline_luma_std,proxy_or_output_feature,-0.10841960309166539,0.10841960309166539
airlight,proxy_or_output_feature,0.10648615823394823,0.10648615823394823
baseline_mae,gt_aware_diagnostic,-0.10245962916514323,0.10245962916514323
image_id,proxy_or_output_feature,0.10139649573829805,0.10139649573829805
residual_lfv1_highfreq_abs_mean_delta_abs,proxy_or_output_feature,-0.09716805100864052,0.09716805100864052
baseline_luma_abs_bias,gt_aware_diagnostic,-0.09316901520207989,0.09316901520207989
lfv1_from_baseline_lf_mse_delta,gt_aware_diagnostic,0.09192837938951982,0.09192837938951982
lfv1_luma_std_delta,gt_aware_diagnostic,-0.08467734874692337,0.08467734874692337
lfv1_from_baseline_residual_norm_ratio,gt_aware_diagnostic,0.08437048273827007,0.08437048273827007
baseline_luma_std_delta,gt_aware_diagnostic,-0.0842611890167085,0.0842611890167085
baseline_saturation_bias,gt_aware_diagnostic,-0.08415279595892518,0.08415279595892518
lfv1_dark_channel_abs_bias,gt_aware_diagnostic,0.08292862312320294,0.08292862312320294
lfv1_lap_var_ratio_gt,gt_aware_diagnostic,0.08133521719448325,0.08133521719448325
lfv1_rmse,gt_aware_diagnostic,-0.08015145906132194,0.08015145906132194
residual_saturation_bias,gt_aware_diagnostic,-0.07355249025328575,0.07355249025328575
lfv1_luma_abs_bias,gt_aware_diagnostic,-0.07204952701663417,0.07204952701663417
baseline_lap_var_ratio_gt,gt_aware_diagnostic,0.07105804358329484,0.07105804358329484
lfv1_mae,gt_aware_diagnostic,-0.06727256472242195,0.06727256472242195
lfv1_highfreq_abs_error,gt_aware_diagnostic,0.06146471468794903,0.06146471468794903
baseline_edge_error,gt_aware_diagnostic,0.05316968869603943,0.05316968869603943
residual_edge_error,gt_aware_diagnostic,-0.03848187465445947,0.03848187465445947
residual_lfv1_lap_var_delta_abs,proxy_or_output_feature,-0.03328668096782977,0.03328668096782977
baseline_delta_e_mean,gt_aware_diagnostic,-0.03085058047432415,0.03085058047432415
baseline_dark_channel_abs_bias,gt_aware_diagnostic,0.021120865920757396,0.021120865920757396
lfv1_saturation_bias,gt_aware_diagnostic,-0.01497005781106897,0.01497005781106897
residual_highfreq_abs_error,gt_aware_diagnostic,-0.005124744425204242,0.005124744425204242
residual_lap_var_ratio_gt,gt_aware_diagnostic,-0.004484102968939232,0.004484102968939232
baseline_highfreq_abs_error,gt_aware_diagnostic,-0.004353693084660833,0.004353693084660833
lfv1_delta_e_mean,gt_aware_diagnostic,0.0039166812927371565,0.0039166812927371565
