name,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,median_delta_lfv1_psnr,p10_delta_lfv1_psnr,p90_delta_lfv1_psnr,three_way_accuracy,two_way_accuracy_on_pair_rows,residual_selection_count,lfv1_selection_count,baseline_selection_count,residual_precision_vs_lfv1,residual_recall_vs_lfv1,lost_lfv1_gain_selected_count,residual_worst_selected_count,residual_beats_both_selected_count,mitigates_lfv1_regression_selected_count,feature,threshold,op,feature_class,selected_fraction
rule,1000,33.00261969692922,0.9852990066409111,0.5743452169899345,0.7773042528660106,0.0,0.0,1.795886250535391,0.695,0.984,501,499,0,0.9920159680638723,0.9764243614931237,0,0,300,110,rescalib_from_lfv1_residual_error_ratio,0.9957040224890229,<=,gt_aware_diagnostic,0.501
rule,1000,33.00192375908306,0.9853023679852486,0.5736492791437698,0.7766083150198461,0.0,0.0,1.795886250535391,0.694,0.976,501,499,0,0.9840319361277445,0.9685658153241651,0,0,300,110,rescalib_from_lfv1_lf_mse_delta,-1.7293059499934316e-06,<=,gt_aware_diagnostic,0.501
rule,1000,32.99940887415078,0.9853005882501602,0.5711343942114788,0.7740934300875552,0.023371192721853618,0.0,1.795886250535391,0.677,0.957,550,450,0,0.9236363636363636,0.9980353634577603,1,0,300,110,rescalib_from_lfv1_residual_error_ratio,1.017611051855728,<=,gt_aware_diagnostic,0.55
rule,1000,32.99747485598472,0.9853027939200402,0.5692003760454195,0.7721594119214961,0.023371192721853618,0.0,1.795886250535391,0.676,0.957,550,450,0,0.9236363636363636,0.9980353634577603,3,1,300,110,rescalib_from_lfv1_lf_mse_delta,6.78041324135847e-06,<=,gt_aware_diagnostic,0.55
rule,1000,32.99625478677804,0.9852709176540375,0.5679803068387588,0.7709393427148357,0.0,0.0,1.795886250535391,0.674,0.939,450,550,0,0.9977777777777778,0.8821218074656189,0,0,299,110,rescalib_from_lfv1_residual_error_ratio,0.9727517350225452,<=,gt_aware_diagnostic,0.45
rule,1000,32.989439854228955,0.9852766121029853,0.5611653742896588,0.7641244101657351,0.027147258142282027,0.0,1.795886250535391,0.646,0.909,600,400,0,0.8483333333333334,1.0,3,1,300,110,rescalib_from_lfv1_residual_error_ratio,1.0360528747212518,<=,gt_aware_diagnostic,0.6
rule,1000,32.98943066892489,0.9852955147624016,0.5611561889856044,0.7641152248616804,0.0,0.0,1.795886250535391,0.667,0.938,451,549,0,0.9955654101995566,0.8821218074656189,0,0,288,107,rescalib_from_lfv1_lf_mse_delta,-1.1883835395565256e-05,<=,gt_aware_diagnostic,0.451
rule,1000,32.98287135649818,0.985257606625557,0.5545968765589023,0.7575559124349796,0.0,0.0,1.795886250535391,0.647,0.891,400,600,0,1.0,0.7858546168958742,0,0,288,105,rescalib_from_lfv1_residual_error_ratio,0.9533403542301929,<=,gt_aware_diagnostic,0.4
rule,1000,32.97820943783434,0.9853020082116127,0.5499349578950272,0.7528939937711027,0.023371192721853618,0.0,1.795886250535391,0.644,0.907,600,400,0,0.8466666666666667,0.9980353634577603,19,13,300,110,rescalib_from_lfv1_lf_mse_delta,1.6561796655878425e-05,<=,gt_aware_diagnostic,0.6
rule,1000,32.97668866259761,0.985284013569355,0.5484141826583158,0.7513732185343922,0.0,0.0,1.795886250535391,0.648,0.898,501,499,0,0.906187624750499,0.8919449901768173,8,6,296,108,rescalib_from_lfv1_residual_cosine,0.31954118609428406,>=,gt_aware_diagnostic,0.501
rule,1000,32.974233805763525,0.9852675167918206,0.5459593258242436,0.7489183617003198,0.0,0.0,1.795886250535391,0.642,0.883,450,550,0,0.9355555555555556,0.8271119842829077,6,2,282,102,rescalib_from_lfv1_residual_cosine,0.3611012041568756,>=,gt_aware_diagnostic,0.45
rule,1000,32.973743069850364,0.9852683910727501,0.5454685899110735,0.7484276257871493,0.0,0.0,1.795886250535391,0.652,0.902,501,499,0,0.9101796407185628,0.8958742632612967,7,6,292,109,rescalib_from_lfv1_luma_residual_cosine,0.3273821175098419,>=,gt_aware_diagnostic,0.501
rule,1000,32.972569270683735,0.9852649728059769,0.5442947907444282,0.7472538266205042,0.027147258142282027,-0.12411483866819066,1.795886250535391,0.616,0.859,650,350,0,0.7830769230769231,1.0,24,14,300,110,rescalib_from_lfv1_residual_error_ratio,1.0573398736919606,<=,gt_aware_diagnostic,0.65
rule,1000,32.97101994449918,0.985325208902359,0.5427454645598835,0.7457045004359589,0.0,0.0,1.795886250535391,0.63,0.887,550,450,0,0.86,0.9292730844793713,19,11,294,107,residual_color_regression_vs_lfv1,0.018663406372070288,<=,gt_aware_diagnostic,0.55
rule,1000,32.96916196411595,0.985329502940178,0.5408874841766552,0.7438465200527318,0.0,0.0,1.795886250535391,0.634,0.888,501,499,0,0.8962075848303394,0.8821218074656189,10,7,289,101,residual_color_regression_vs_lfv1,-0.006283879280090332,<=,gt_aware_diagnostic,0.501
rule,1000,32.96823615379488,0.9852631469368934,0.5399616738555872,0.7429207097316637,0.0,0.0,1.795886250535391,0.638,0.884,451,549,0,0.9356984478935698,0.8290766208251473,6,4,281,104,rescalib_from_lfv1_luma_residual_cosine,0.3657036781311035,>=,gt_aware_diagnostic,0.451
rule,1000,32.96734128964334,0.9853012947440147,0.539066809704051,0.7420258455801266,0.0,0.0,1.795886250535391,0.646,0.893,550,450,0,0.8654545454545455,0.9351669941060904,14,15,299,110,rescalib_from_lfv1_luma_residual_cosine,0.2757650464773178,>=,gt_aware_diagnostic,0.55
rule,1000,32.96657262257091,0.985285404920578,0.5382981426316398,0.7412571785077161,0.0,0.0,1.7922156676478738,0.634,0.89,401,599,0,0.9975062344139651,0.7858546168958742,0,0,268,95,rescalib_from_lfv1_lf_mse_delta,-2.3973255883902313e-05,<=,gt_aware_diagnostic,0.401
rule,1000,32.96606908027751,0.9853019350171089,0.5377946003382106,0.7407536362142861,0.0,0.0,1.795886250535391,0.643,0.889,550,450,0,0.8618181818181818,0.931237721021611,15,16,299,110,rescalib_from_lfv1_residual_cosine,0.273563089966774,>=,gt_aware_diagnostic,0.55
rule,1000,32.965008798774015,0.9853214625716209,0.5367343188347208,0.7396933547107979,0.0,0.0,1.795886250535391,0.629,0.878,451,549,0,0.9290465631929047,0.8231827111984283,6,2,278,97,residual_color_regression_vs_lfv1,-0.030519306659698466,<=,gt_aware_diagnostic,0.451
rule,1000,32.96040663712745,0.9852331463694572,0.5321321571881688,0.7350911930642453,0.0,0.0,1.795886250535391,0.609,0.841,350,650,0,1.0,0.68762278978389,0,0,259,91,rescalib_from_lfv1_residual_error_ratio,0.9306073816896061,<=,gt_aware_diagnostic,0.35
rule,1000,32.95959880783835,0.9852237773537635,0.5313243278990697,0.7342833637751462,0.0,0.0,1.795886250535391,0.624,0.855,400,600,0,0.955,0.75049115913556,4,2,269,89,rescalib_from_lfv1_residual_cosine,0.397188514471054,>=,gt_aware_diagnostic,0.4
rule,1000,32.95900829912659,0.9853220529556275,0.5307338191872744,0.73369285506335,0.0,-0.05948850820943149,1.795886250535391,0.612,0.861,600,400,0,0.8083333333333333,0.9528487229862476,31,17,294,108,residual_color_regression_vs_lfv1,0.04042235612869262,<=,gt_aware_diagnostic,0.6
rule,1000,32.953393007176246,0.9852883735895157,0.5251185272369479,0.7280775631130233,0.0,-0.04044659216747597,1.795886250535391,0.633,0.875,600,400,0,0.82,0.9666011787819253,23,27,300,110,rescalib_from_lfv1_residual_cosine,0.23417068421840667,>=,gt_aware_diagnostic,0.6
rule,1000,32.953297045678696,0.9852238777279854,0.5250225657394222,0.7279816016154982,0.0,0.0,1.795886250535391,0.62,0.853,400,600,0,0.9525,0.7485265225933202,4,4,265,92,rescalib_from_lfv1_luma_residual_cosine,0.3965582370758056,>=,gt_aware_diagnostic,0.4
rule,1000,32.95285673445918,0.9852904686927796,0.5245822545198885,0.7275412903959642,0.0,-0.04044659216747597,1.795886250535391,0.636,0.875,600,400,0,0.82,0.9666011787819253,23,28,300,110,rescalib_from_lfv1_luma_residual_cosine,0.22532641291618344,>=,gt_aware_diagnostic,0.6
rule,1000,32.950511597445924,0.9852935633063317,0.5222371175066337,0.7251961533827094,0.027147258142282027,-0.14385248589087427,1.795886250535391,0.618,0.859,650,350,0,0.7830769230769231,1.0,36,28,300,110,rescalib_from_lfv1_lf_mse_delta,3.2434055174235265e-05,<=,gt_aware_diagnostic,0.65
rule,1000,32.94790438173534,0.9853054611086846,0.5196299017960583,0.7225889376721341,0.0,0.0,1.795886250535391,0.608,0.848,401,599,0,0.9451371571072319,0.7445972495088409,3,1,256,89,residual_color_regression_vs_lfv1,-0.05994633436203003,<=,gt_aware_diagnostic,0.401
rule,1000,32.947736539381545,0.9852294790744781,0.5194620594422563,0.7224210953183323,0.027147258142282027,-0.2756912564677321,1.795886250535391,0.589,0.809,700,300,0,0.7271428571428571,1.0,46,37,300,110,rescalib_from_lfv1_residual_error_ratio,1.0814592075678022,<=,gt_aware_diagnostic,0.7
rule,1000,32.940112545139485,0.9853116101622581,0.5118380652001884,0.7147971010762638,0.0,-0.2154234777419798,1.795886250535391,0.595,0.833,650,350,0,0.7630769230769231,0.9744597249508841,46,31,296,108,residual_color_regression_vs_lfv1,0.07090221643447878,<=,gt_aware_diagnostic,0.65
rule,1000,32.938196294452474,0.9852038662433624,0.5099218145131929,0.7128808503892696,0.0,0.0,1.795886250535391,0.594,0.821,350,650,0,0.9714285714285714,0.6679764243614931,2,1,244,80,rescalib_from_lfv1_residual_cosine,0.4377776920795441,>=,gt_aware_diagnostic,0.35
rule,1000,32.932913331186654,0.9852006976604462,0.5046388512473865,0.7075978871234627,0.0,0.0,1.795886250535391,0.594,0.817,350,650,0,0.9657142857142857,0.6640471512770137,2,2,240,81,rescalib_from_lfv1_luma_residual_cosine,0.44370849132537843,>=,gt_aware_diagnostic,0.35
rule,1000,32.9285858180759,0.985181478202343,0.5003113381366152,0.7032703740126912,0.0,0.0,1.795886250535391,0.57,0.791,300,700,0,1.0,0.5893909626719057,0,0,226,74,rescalib_from_lfv1_residual_error_ratio,0.9111223636669937,<=,gt_aware_diagnostic,0.3
rule,1000,32.92789733712687,0.9852585175037384,0.49962285718760313,0.7025818930636792,0.0,0.0,1.7610258686158315,0.595,0.841,350,650,0,1.0,0.68762278978389,0,0,235,87,rescalib_from_lfv1_lf_mse_delta,-4.1257025441154834e-05,<=,gt_aware_diagnostic,0.35
rule,1000,32.92555084019385,0.9852752698659897,0.4972763602545491,0.7002353961306249,0.004668839090488319,-0.20266927200563528,1.795886250535391,0.608,0.845,650,350,0,0.7723076923076924,0.9862475442043221,38,39,300,110,rescalib_from_lfv1_residual_cosine,0.18091063648462297,>=,gt_aware_diagnostic,0.65
rule,1000,32.924299726426504,0.9852802208662033,0.496025246487222,0.6989842823632977,0.0077286696419029965,-0.20475078456775575,1.795886250535391,0.608,0.847,650,350,0,0.7738461538461539,0.9882121807465619,40,37,300,110,rescalib_from_lfv1_luma_residual_cosine,0.17712441235780718,>=,gt_aware_diagnostic,0.65
rule,1000,32.91929250259282,0.9852924422621727,0.4910180226535416,0.6939770585296173,0.0,0.0,1.7922156676478738,0.577,0.809,350,650,0,0.9542857142857143,0.656188605108055,3,1,229,79,residual_color_regression_vs_lfv1,-0.08814189434051514,<=,gt_aware_diagnostic,0.35
rule,1000,32.91536323962625,0.9852947397232056,0.4870887596869698,0.6900477955630455,0.0,-0.34223947991978104,1.795886250535391,0.57,0.789,700,300,0,0.7128571428571429,0.9803536345776032,61,45,298,108,residual_color_regression_vs_lfv1,0.10846943855285647,<=,gt_aware_diagnostic,0.7
rule,1000,32.91409698091519,0.9852896702289581,0.48582250097590235,0.6887815368519783,0.027147258142282027,-0.3260056111130396,1.795886250535391,0.581,0.809,700,300,0,0.7271428571428571,1.0,60,43,300,110,rescalib_from_lfv1_lf_mse_delta,5.8144371723756205e-05,<=,gt_aware_diagnostic,0.7
rule,1000,32.90998270108937,0.9851502670645714,0.48170822115008366,0.6846672570261595,0.027147258142282027,-0.42109474340047504,1.795886250535391,0.558,0.759,750,250,0,0.6786666666666666,1.0,70,63,300,110,rescalib_from_lfv1_residual_error_ratio,1.1149157340585876,<=,gt_aware_diagnostic,0.75
rule,1000,32.907617005790705,0.9851465497016907,0.4793425258514193,0.682301561727495,0.0,0.0,1.795886250535391,0.565,0.781,300,700,0,0.9833333333333333,0.5795677799607073,1,1,216,67,rescalib_from_lfv1_residual_cosine,0.47077032923698425,>=,gt_aware_diagnostic,0.3
rule,1000,32.90341463014359,0.9851304115653038,0.47514015020430134,0.678099186080377,0.0,0.0,1.795886250535391,0.565,0.781,300,700,0,0.9833333333333333,0.5795677799607073,1,1,215,66,rescalib_from_lfv1_luma_residual_cosine,0.4785595059394837,>=,gt_aware_diagnostic,0.3
rule,1000,32.90017890700111,0.9852811996340751,0.47190442706181934,0.6748634629378953,0.027147258142282027,-0.3285813977360711,1.795886250535391,0.582,0.809,700,300,0,0.7271428571428571,1.0,59,46,300,110,rescalib_from_lfv1_residual_cosine,0.12953156828880308,>=,gt_aware_diagnostic,0.7
rule,1000,32.894538384105935,0.9852765661478042,0.4662639041666382,0.6692229400427139,0.027147258142282027,-0.33722402800758644,1.795886250535391,0.582,0.809,700,300,0,0.7271428571428571,1.0,59,50,300,110,rescalib_from_lfv1_luma_residual_cosine,0.12060627341270445,>=,gt_aware_diagnostic,0.7
