feature,weight,abs_weight,split,feature_set,bias,prob_threshold
lfv1_baseline_saturation_mean_delta,-0.11038741983950452,0.11038741983950452,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_lfv1_luma_mean_delta,0.0982974610763394,0.0982974610763394,0,output_proxy,0.03129118981379298,0.48252173431979306
lfv1_baseline_luma_mean_delta,-0.09639322080317857,0.09639322080317857,0,output_proxy,0.03129118981379298,0.48252173431979306
lfv1_baseline_dark_channel_mean_delta_abs,-0.09061375433418853,0.09061375433418853,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_lfv1_lap_var_delta,0.09015519030675047,0.09015519030675047,0,output_proxy,0.03129118981379298,0.48252173431979306
lfv1_baseline_dark_channel_mean_delta,-0.07957872231692614,0.07957872231692614,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_lfv1_saturation_mean_delta,0.07462996073423465,0.07462996073423465,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_lfv1_saturation_mean_delta_abs,0.07238489518315241,0.07238489518315241,0,output_proxy,0.03129118981379298,0.48252173431979306
lfv1_baseline_lap_var_delta_abs,-0.06346986394864165,0.06346986394864165,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_lfv1_luma_mean_delta_abs,-0.06227639575507634,0.06227639575507634,0,output_proxy,0.03129118981379298,0.48252173431979306
lfv1_baseline_luma_mean_delta_abs,0.05773531551261502,0.05773531551261502,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_baseline_lap_var_delta_abs,-0.05420929456601688,0.05420929456601688,0,output_proxy,0.03129118981379298,0.48252173431979306
residual_lfv1_lap_var_delta,0.10118241466177823,0.10118241466177823,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_lfv1_saturation_mean_delta_abs,0.09711976893759815,0.09711976893759815,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_lfv1_luma_mean_delta,0.08381711131670429,0.08381711131670429,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_baseline_lap_var_delta_abs,-0.07446381907276715,0.07446381907276715,1,output_proxy,0.02879669334046532,0.4616261295794255
lfv1_baseline_dark_channel_mean_delta_abs,-0.07400903877429192,0.07400903877429192,1,output_proxy,0.02879669334046532,0.4616261295794255
lfv1_baseline_saturation_mean_delta,-0.07249813396858597,0.07249813396858597,1,output_proxy,0.02879669334046532,0.4616261295794255
lfv1_baseline_lap_var_delta_abs,-0.06422904128278101,0.06422904128278101,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_lfv1_dark_channel_mean_delta_abs,0.05703714947477592,0.05703714947477592,1,output_proxy,0.02879669334046532,0.4616261295794255
lfv1_baseline_luma_mean_delta,-0.05385068028874402,0.05385068028874402,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_baseline_edge_mean_delta,0.04953568941668761,0.04953568941668761,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_lfv1_luma_mean_delta_abs,-0.0488038834409431,0.0488038834409431,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_lfv1_luma_std_delta_abs,-0.04817913834742784,0.04817913834742784,1,output_proxy,0.02879669334046532,0.4616261295794255
residual_lfv1_lap_var_delta,0.11808495900297895,0.11808495900297895,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_lfv1_luma_mean_delta_abs,-0.10646127263920642,0.10646127263920642,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_lfv1_luma_mean_delta,0.07954440080055378,0.07954440080055378,2,output_proxy,0.031280596125309326,0.4830139246553539
lfv1_baseline_lap_var_delta,-0.0749448302292765,0.0749448302292765,2,output_proxy,0.031280596125309326,0.4830139246553539
lfv1_baseline_saturation_mean_delta_abs,-0.05971089561897818,0.05971089561897818,2,output_proxy,0.031280596125309326,0.4830139246553539
lfv1_baseline_saturation_mean_delta,-0.05870524403175099,0.05870524403175099,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_baseline_edge_mean_delta,0.057991381155835596,0.057991381155835596,2,output_proxy,0.031280596125309326,0.4830139246553539
lfv1_baseline_edge_mean_delta,0.05479629771982947,0.05479629771982947,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_baseline_lap_var_delta_abs,-0.05089928949131669,0.05089928949131669,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_luma_std_delta,0.0471949272485839,0.0471949272485839,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_baseline_luma_mean_delta,0.04679014087031386,0.04679014087031386,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_lfv1_saturation_mean_delta,0.04325719838948954,0.04325719838948954,2,output_proxy,0.031280596125309326,0.4830139246553539
residual_lfv1_lap_var_delta,0.11137077406991379,0.11137077406991379,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_lfv1_luma_std_delta_abs,-0.10038151426517657,0.10038151426517657,3,output_proxy,0.0298224701775529,0.5023858099752162
lfv1_baseline_dark_channel_mean_delta_abs,-0.09528871933852114,0.09528871933852114,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_lfv1_luma_mean_delta,0.08448456182656129,0.08448456182656129,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_lfv1_dark_channel_mean_delta_abs,0.08293038542685698,0.08293038542685698,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_baseline_saturation_mean_delta_abs,0.07962912450768465,0.07962912450768465,3,output_proxy,0.0298224701775529,0.5023858099752162
lfv1_baseline_edge_mean_delta,0.07528378135145358,0.07528378135145358,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_baseline_lap_var_delta_abs,-0.0687721418067115,0.0687721418067115,3,output_proxy,0.0298224701775529,0.5023858099752162
baseline_saturation_mean,0.06118909333487905,0.06118909333487905,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_baseline_edge_mean_delta,0.05986367523379744,0.05986367523379744,3,output_proxy,0.0298224701775529,0.5023858099752162
residual_saturation_mean,0.059845777747728444,0.059845777747728444,3,output_proxy,0.0298224701775529,0.5023858099752162
