feature,weight,abs_weight,split_family,split,feature_set,bias,prob_threshold
lfv1_baseline_down3_channel_mean_std_abs_delta,0.19232799196670938,0.19232799196670938,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_lfv1_mix2_spatial_std_mean_abs_delta,-0.14412807215267023,0.14412807215267023,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_lfv1_down_level2_block4_min_signed_norm_delta,-0.13949897550901216,0.13949897550901216,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_lfv1_down_level2_block4_min_ratio,0.12957470008166888,0.12957470008166888,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_baseline_down_level2_block4_min_signed_norm_delta,-0.12352284426629692,0.12352284426629692,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
lfv1_baseline_down3_channel_mean_std_ratio,0.11890673736185303,0.11890673736185303,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_lf_calib_alpha_min,0.1156047917007221,0.1156047917007221,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
lfv1_baseline_down3_channel_mean_std_signed_norm_delta,0.11490621559652738,0.11490621559652738,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
lfv1_baseline_level3_block8_max_abs_delta,0.11046182726683844,0.11046182726683844,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_baseline_down_level2_block4_min_ratio,0.10747689887910471,0.10747689887910471,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
residual_baseline_down_level2_block4_min_abs_delta,-0.10384008637831371,0.10384008637831371,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
lfv1_baseline_mix1_channel_mean_std_abs_delta,0.10194046152349845,0.10194046152349845,random_stratified,0,activation_only_proxy,-0.15412237929226574,0.9962774929367767
lfv1_baseline_down3_channel_mean_std_abs_delta,0.20011089866262532,0.20011089866262532,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
residual_lfv1_mix2_min_abs_delta,0.1403976900151733,0.1403976900151733,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
residual_lfv1_down_level2_block4_min_signed_norm_delta,-0.13842820426568678,0.13842820426568678,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
lfv1_baseline_level3_block8_min_abs_delta,0.1357764090785565,0.1357764090785565,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
residual_lfv1_down_level2_block4_min_ratio,0.13496752695784486,0.13496752695784486,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
residual_lfv1_mix2_spatial_std_mean_abs_delta,-0.13307065615196237,0.13307065615196237,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
lfv1_baseline_level3_block8_max_abs_delta,0.12920507245423798,0.12920507245423798,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
lfv1_baseline_down1_active_frac_001_abs_delta,0.12456038743268313,0.12456038743268313,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
residual_lf_calib_alpha_min,0.11845313207725845,0.11845313207725845,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
lfv1_baseline_down3_channel_mean_std_ratio,0.11654819155651375,0.11654819155651375,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
residual_baseline_down_level2_block4_min_signed_norm_delta,-0.11251909855565262,0.11251909855565262,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
lfv1_baseline_down3_channel_mean_std_signed_norm_delta,0.11242000140178868,0.11242000140178868,random_stratified,1,activation_only_proxy,-0.19874159657870724,0.9644351605546765
lfv1_baseline_down3_channel_mean_std_abs_delta,0.16789309900799687,0.16789309900799687,random_stratified,2,activation_only_proxy,-0.1595816062925437,0.9146642424337004
lfv1_baseline_level3_block8_min_abs_delta,0.15391363904498329,0.15391363904498329,random_stratified,2,activation_only_proxy,-0.1595816062925437,0.9146642424337004
residual_lfv1_down_level2_block4_min_signed_norm_delta,-0.15205916950603823,0.15205916950603823,random_stratified,2,activation_only_proxy,-0.1595816062925437,0.9146642424337004
