name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split_family,split,oracle_recovery,prob_threshold
always_lfv1,strict_output_proxy,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,random_stratified,0,0.0,
always_residual,strict_output_proxy,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,random_stratified,0,-0.05824763580979427,
two_way_oracle,strict_output_proxy,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,random_stratified,0,1.0,
decision_stump,strict_output_proxy,stump,300,32.49562539965103,0.9851018587748209,0.07221124646739395,0.2207042914037597,140,160,0.5785714285714286,0.5294117647058824,0.5633333333333334,29,19,random_stratified,0,0.11871414277433971,
ridge_logistic,strict_output_proxy,logistic,300,32.43702042225776,0.9851736736297607,0.013606269074124171,0.1620993140104899,155,145,0.535483870967742,0.5424836601307189,0.5266666666666666,35,21,random_stratified,0,0.022368490346181852,0.5162385056907307
always_lfv1,strict_output_proxy,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,random_stratified,1,0.0,
always_residual,strict_output_proxy,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,random_stratified,1,-0.0016499442478817644,
two_way_oracle,strict_output_proxy,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,random_stratified,1,1.0,
decision_stump,strict_output_proxy,stump,300,32.61340809187902,0.9838601541519165,0.06572391290934267,0.2506915159383883,186,114,0.5161290322580645,0.6274509803921569,0.51,40,28,random_stratified,1,0.10319472297405552,
ridge_logistic,strict_output_proxy,logistic,300,32.5933216393901,0.983870263894399,0.045637460420418906,0.23060506344946455,223,77,0.515695067264574,0.7516339869281046,0.5133333333333333,49,31,random_stratified,1,0.07165649269575199,0.4714053211784954
always_lfv1,strict_output_proxy,baseline,300,32.40869465143019,0.9844014889001846,0.0,0.2601049467771159,0,300,,0.0,0.49,0,0,random_stratified,2,0.0,
always_residual,strict_output_proxy,baseline,300,32.372741106397314,0.9841548754771551,-0.03595354503287437,0.22415140174424153,300,0,0.51,1.0,0.51,63,51,random_stratified,2,-0.06838066030131681,
two_way_oracle,strict_output_proxy,oracle,300,32.93447993742255,0.9849240066607793,0.5257852859923614,0.7858902327694774,153,147,1.0,1.0,1.0,0,0,random_stratified,2,1.0,
decision_stump,strict_output_proxy,stump,300,32.40854109588261,0.9842337371905645,-0.00015355554757430075,0.25995139122954164,183,117,0.5409836065573771,0.6470588235294118,0.54,39,29,random_stratified,2,-0.00029204991403378985,
ridge_logistic,strict_output_proxy,logistic,300,32.496350616960044,0.9842712396383285,0.08765596552985971,0.3477609123069756,212,88,0.5471698113207547,0.7581699346405228,0.5566666666666666,39,31,random_stratified,2,0.16671437536411618,0.47826354829456913
always_lfv1,strict_output_proxy,baseline,300,32.45845241610133,0.9838229829072952,0.0,0.24174490459312087,0,300,,0.0,0.49,0,0,random_stratified,3,0.0,
always_residual,strict_output_proxy,baseline,300,32.370664318805574,0.9839528248707453,-0.087788097295755,0.15395680729736588,300,0,0.51,1.0,0.51,62,55,random_stratified,3,-0.16130961275575179,
two_way_oracle,strict_output_proxy,oracle,300,33.002673530987266,0.9848424629370371,0.5442211148859432,0.7859660194790641,153,147,1.0,1.0,1.0,0,0,random_stratified,3,1.0,
decision_stump,strict_output_proxy,stump,300,32.43672356923122,0.9839478907982508,-0.021728846870110594,0.22001605772301028,182,118,0.5164835164835165,0.6143790849673203,0.51,43,31,random_stratified,3,-0.039926504642629465,
ridge_logistic,strict_output_proxy,logistic,300,32.412710827449736,0.9837868005037308,-0.0457415886515957,0.19600331594152512,177,123,0.4971751412429379,0.5751633986928104,0.4866666666666667,39,37,random_stratified,3,-0.0840496397520007,0.5166805022496895
always_lfv1,strict_output_proxy,baseline,300,32.12805880104787,0.9834058014551799,0.0,0.2590696371306295,0,300,,0.0,0.49,0,0,random_stratified,4,0.0,
always_residual,strict_output_proxy,baseline,300,32.090713697414664,0.9837073910236359,-0.03734510363320063,0.2217245334974289,300,0,0.51,1.0,0.51,69,48,random_stratified,4,-0.06360509092536355,
two_way_oracle,strict_output_proxy,oracle,300,32.71519896687237,0.9844519972801209,0.5871401658245042,0.8462098029551339,153,147,1.0,1.0,1.0,0,0,random_stratified,4,1.0,
decision_stump,strict_output_proxy,stump,300,32.18823006382776,0.9835367178916932,0.06017126277988684,0.31924089991051635,202,98,0.5198019801980198,0.6862745098039216,0.5166666666666667,44,29,random_stratified,4,0.10248193920678215,
ridge_logistic,strict_output_proxy,logistic,300,32.165430931625316,0.9834606210390727,0.03737213057744565,0.2964417677080751,196,104,0.5306122448979592,0.6797385620915033,0.53,43,31,random_stratified,4,0.06365112242826214,0.4904459418087579
always_lfv1,strict_output_proxy,baseline,194,32.72398095315908,0.9853693649326403,0.0,0.2198776864233745,0,194,,0.0,0.4536082474226804,0,0,airlight_leave_one,0.65<=A<0.75,0.0,
always_residual,strict_output_proxy,baseline,194,32.85884173501074,0.9853769104505322,0.13486078185166564,0.35473846827504013,194,0,0.5463917525773195,1.0,0.5463917525773195,40,23,airlight_leave_one,0.65<=A<0.75,0.1961183392068737,
two_way_oracle,strict_output_proxy,oracle,194,33.41163098322286,0.9861935487727529,0.6876500300637818,0.907527716487156,106,88,1.0,1.0,1.0,0,0,airlight_leave_one,0.65<=A<0.75,1.0,
decision_stump,strict_output_proxy,stump,194,32.768406845645856,0.9852961406265337,0.04442589248678294,0.26430357891015743,49,145,0.5510204081632653,0.25471698113207547,0.4793814432989691,7,8,airlight_leave_one,0.65<=A<0.75,0.06460538143605156,
ridge_logistic,strict_output_proxy,logistic,194,32.91280404196598,0.9855343131060453,0.18882308880690146,0.4087007752302759,64,130,0.65625,0.39622641509433965,0.5567010309278351,12,4,airlight_leave_one,0.65<=A<0.75,0.2745918425821744,0.5319017856602563
always_lfv1,strict_output_proxy,baseline,210,32.55321279027625,0.9846461673577627,0.0,0.07687369739468619,0,210,,0.0,0.5380952380952381,0,0,airlight_leave_one,0.75<=A<0.85,0.0,
always_residual,strict_output_proxy,baseline,210,32.506851874944864,0.9844869468893324,-0.04636091533138486,0.03051278206330134,210,0,0.46190476190476193,1.0,0.46190476190476193,49,35,airlight_leave_one,0.75<=A<0.85,-0.09333475029682921,
two_way_oracle,strict_output_proxy,oracle,210,33.04992934208514,0.9853752757821764,0.4967165518088909,0.573590249203577,97,113,1.0,1.0,1.0,0,0,airlight_leave_one,0.75<=A<0.85,1.0,
decision_stump,strict_output_proxy,stump,210,32.521205800259146,0.9844435197966439,-0.03200699001710969,0.04486670737757651,106,104,0.4528301886792453,0.4948453608247423,0.49047619047619045,25,15,airlight_leave_one,0.75<=A<0.85,-0.06443713200325205,
ridge_logistic,strict_output_proxy,logistic,210,32.602305459049994,0.9845303038756053,0.04909266877374492,0.12596636616843113,141,69,0.48936170212765956,0.711340206185567,0.5238095238095238,34,16,airlight_leave_one,0.75<=A<0.85,0.09883437263156286,0.5023922698946068
always_lfv1,strict_output_proxy,baseline,175,31.48941879868601,0.9829617415155684,0.0,0.13356019155896867,0,175,,0.0,0.4857142857142857,0,0,airlight_leave_one,0.85<=A<0.95,0.0,
always_residual,strict_output_proxy,baseline,175,31.520560080719005,0.9829386118480138,0.031141282032992733,0.16470147359196138,175,0,0.5142857142857142,1.0,0.5142857142857142,37,30,airlight_leave_one,0.85<=A<0.95,0.05633019354111248,
