feature,weight,abs_weight,split,feature_set,bias,prob_threshold
lfv1_baseline_saturation_mean_delta,-0.11028324968740447,0.11028324968740447,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_lfv1_luma_mean_delta,0.09824675948500199,0.09824675948500199,0,output_proxy,0.03129369391272656,0.48242785286910866
lfv1_baseline_luma_mean_delta,-0.09625726148843981,0.09625726148843981,0,output_proxy,0.03129369391272656,0.48242785286910866
lfv1_baseline_dark_channel_mean_delta_abs,-0.09057311141223451,0.09057311141223451,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_lfv1_lap_var_delta,0.0900771001276276,0.0900771001276276,0,output_proxy,0.03129369391272656,0.48242785286910866
lfv1_baseline_dark_channel_mean_delta,-0.0793850699794382,0.0793850699794382,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_lfv1_saturation_mean_delta,0.07465108388805745,0.07465108388805745,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_lfv1_saturation_mean_delta_abs,0.07247712656235954,0.07247712656235954,0,output_proxy,0.03129369391272656,0.48242785286910866
lfv1_baseline_lap_var_delta_abs,-0.0634839284136269,0.0634839284136269,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_lfv1_luma_mean_delta_abs,-0.062343268181707,0.062343268181707,0,output_proxy,0.03129369391272656,0.48242785286910866
lfv1_baseline_luma_mean_delta_abs,0.05787181065679935,0.05787181065679935,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_baseline_lap_var_delta_abs,-0.054168457852593874,0.054168457852593874,0,output_proxy,0.03129369391272656,0.48242785286910866
residual_lfv1_lap_var_delta,0.10119089149851777,0.10119089149851777,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_lfv1_saturation_mean_delta_abs,0.09711564807556407,0.09711564807556407,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_lfv1_luma_mean_delta,0.08395139439251142,0.08395139439251142,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_baseline_lap_var_delta_abs,-0.07433125740658747,0.07433125740658747,1,output_proxy,0.0288239623394581,0.46168713837794684
lfv1_baseline_dark_channel_mean_delta_abs,-0.07396982966366845,0.07396982966366845,1,output_proxy,0.0288239623394581,0.46168713837794684
lfv1_baseline_saturation_mean_delta,-0.07251075546030597,0.07251075546030597,1,output_proxy,0.0288239623394581,0.46168713837794684
lfv1_baseline_lap_var_delta_abs,-0.06428598477365832,0.06428598477365832,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_lfv1_dark_channel_mean_delta_abs,0.05729450054267962,0.05729450054267962,1,output_proxy,0.0288239623394581,0.46168713837794684
lfv1_baseline_luma_mean_delta,-0.05395632686899522,0.05395632686899522,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_baseline_edge_mean_delta,0.04962569835389492,0.04962569835389492,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_lfv1_luma_mean_delta_abs,-0.048765263762013296,0.048765263762013296,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_lfv1_luma_std_delta_abs,-0.04794952272294289,0.04794952272294289,1,output_proxy,0.0288239623394581,0.46168713837794684
residual_lfv1_lap_var_delta,0.11643753754148707,0.11643753754148707,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_lfv1_luma_mean_delta_abs,-0.09946888436312999,0.09946888436312999,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_lfv1_luma_mean_delta,0.08396947456124189,0.08396947456124189,2,output_proxy,0.0317588607206878,0.49619209805881004
lfv1_baseline_lap_var_delta,-0.07261463886552819,0.07261463886552819,2,output_proxy,0.0317588607206878,0.49619209805881004
lfv1_baseline_saturation_mean_delta_abs,-0.06877803598217805,0.06877803598217805,2,output_proxy,0.0317588607206878,0.49619209805881004
lfv1_baseline_saturation_mean_delta,-0.06041918146821308,0.06041918146821308,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_baseline_edge_mean_delta,0.0564937653469549,0.0564937653469549,2,output_proxy,0.0317588607206878,0.49619209805881004
lfv1_baseline_edge_mean_delta,0.053754160924544735,0.053754160924544735,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_lfv1_saturation_mean_delta,0.04753570592240625,0.04753570592240625,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_baseline_lap_var_delta_abs,-0.04664548353364916,0.04664548353364916,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_baseline_luma_mean_delta,0.04488217745536632,0.04488217745536632,2,output_proxy,0.0317588607206878,0.49619209805881004
lfv1_baseline_dark_channel_mean_delta_abs,-0.04414777765091964,0.04414777765091964,2,output_proxy,0.0317588607206878,0.49619209805881004
residual_lfv1_lap_var_delta,0.11117558145008392,0.11117558145008392,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_lfv1_luma_std_delta_abs,-0.0998577949628585,0.0998577949628585,3,output_proxy,0.029941221018885654,0.5031364664654994
lfv1_baseline_dark_channel_mean_delta_abs,-0.09541146395731641,0.09541146395731641,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_lfv1_luma_mean_delta,0.0847680492860219,0.0847680492860219,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_lfv1_dark_channel_mean_delta_abs,0.08347378364129687,0.08347378364129687,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_baseline_saturation_mean_delta_abs,0.08009676634350056,0.08009676634350056,3,output_proxy,0.029941221018885654,0.5031364664654994
lfv1_baseline_edge_mean_delta,0.07550331419959352,0.07550331419959352,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_baseline_lap_var_delta_abs,-0.06854720291570487,0.06854720291570487,3,output_proxy,0.029941221018885654,0.5031364664654994
baseline_saturation_mean,0.06159008598283806,0.06159008598283806,3,output_proxy,0.029941221018885654,0.5031364664654994
lfv1_baseline_luma_std_delta,0.0612648938020131,0.0612648938020131,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_saturation_mean,0.060263250641310606,0.060263250641310606,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_baseline_edge_mean_delta,0.06002500851199439,0.06002500851199439,3,output_proxy,0.029941221018885654,0.5031364664654994
residual_baseline_lap_var_delta_abs,-0.11819553407959549,0.11819553407959549,4,output_proxy,0.027993646830129226,0.473088711752902
lfv1_baseline_saturation_mean_delta,-0.086492275736068,0.086492275736068,4,output_proxy,0.027993646830129226,0.473088711752902
residual_lfv1_luma_std_delta_abs,-0.0847021615484905,0.0847021615484905,4,output_proxy,0.027993646830129226,0.473088711752902
residual_lfv1_luma_mean_delta,0.08139432427532375,0.08139432427532375,4,output_proxy,0.027993646830129226,0.473088711752902
baseline_saturation_mean,0.0804605703410637,0.0804605703410637,4,output_proxy,0.027993646830129226,0.473088711752902
residual_saturation_mean,0.07865967812750602,0.07865967812750602,4,output_proxy,0.027993646830129226,0.473088711752902
lfv1_saturation_mean,0.07568976008680743,0.07568976008680743,4,output_proxy,0.027993646830129226,0.473088711752902
