group_name,group_value,num_images,mean_baseline_psnr,mean_lfv1_psnr,mean_residual_psnr,mean_lfv1_delta_baseline_psnr,mean_residual_delta_baseline_psnr,mean_residual_delta_lfv1_psnr,median_residual_delta_lfv1_psnr,lfv1_better_030db_count,lfv1_worse_030db_count,residual_better_030db_count,residual_worse_030db_count,residual_over_lfv1_030db_count,residual_under_lfv1_030db_count,mean_lfv1_residual_cosine,mean_rescalib_residual_cosine,mean_residual_vs_lfv1_cosine,mean_delta_e_change_residual_vs_lfv1,mean_luma_abs_bias_change_residual_vs_lfv1,mean_dark_channel_abs_bias_change_residual_vs_lfv1,mean_edge_error_change_residual_vs_lfv1
all,all,20,31.537306031016634,31.258021054719592,31.008494002251144,-0.27928497629704463,-0.5288120287654919,-0.24952705246844734,-0.07711224416087958,6,9,10,9,8,9,0.23013904618564993,0.20832077478989958,0.18091252595186233,0.11016373038291931,0.0015881225466728211,0.0005166828632354736,0.00011315601877868176
baseline_strength_bin,baseline_middle_50,10,31.99383306793421,31.421776467305257,31.536914884043277,-0.5720566006289538,-0.45691818389093547,0.11513841673801828,0.8775505002949373,2,6,5,5,6,3,0.15321136829443277,0.20370997190475465,0.28931592404842377,0.09592087268829345,0.0009512454271316528,0.0002007514238357544,0.0001146324910223484
baseline_strength_bin,baseline_strongest_25,5,38.907184811852815,38.35326421314613,37.90520220352076,-0.5539205987066765,-1.0019826083320509,-0.44806200962537446,-0.33138051526434253,2,2,1,3,0,3,0.31184739246964455,0.25067223571240904,0.2894383430480957,0.03673126697540283,0.0019223451614379882,-0.001370251178741455,0.00016707219183444976
baseline_strength_bin,baseline_weakest_25,5,23.254373176345304,23.83526707112171,23.054944037397256,0.5808938947764055,-0.1994291389480459,-0.7803230337244514,-0.5717221713469094,2,1,4,1,2,3,0.30228605568408967,0.17519091963768005,-0.1444200873374939,0.2120819091796875,0.0025276541709899902,0.003035479784011841,5.628690123558044e-05
airlight_bin,0.65<=A<0.75,4,31.841328039713073,32.010951039571694,31.88131515881733,0.16962299985862384,0.039987119104258895,-0.12963588075436494,-0.32076611911330666,2,1,2,1,1,2,0.36795978352893144,0.360702071338892,0.20614472776651382,0.08255821466445923,0.0038525238633155823,0.0044815391302108765,0.0006455159746110439
airlight_bin,0.75<=A<0.85,5,32.776609893268656,32.404895998383864,32.4720619889028,-0.37171389488479745,-0.3045479043658588,0.06716599051893865,0.5540160898947519,1,3,3,2,3,1,0.1734180435538292,0.18889604210853578,0.31342118978500366,0.11365730762481689,0.0006592214107513428,-0.0007631808519363403,-9.963959455490112e-05
airlight_bin,0.85<=A<0.95,6,27.420485713111265,27.23591732600849,26.915493004391646,-0.18456838710277346,-0.5049927087196208,-0.32042432161684725,-0.34210329359498637,1,2,3,3,3,3,0.1662490007778009,0.13408853330959877,0.11847427735726039,0.06912233432133992,0.0012897402048110962,-0.0008750855922698975,0.000583831841746966
airlight_bin,A<0.65,3,35.62323313327368,35.953691838082804,35.33178036218405,0.33045870480912615,-0.291452771089632,-0.6219114758987582,-0.33138051526434253,2,1,2,1,0,2,0.43473335976401967,0.28275351723035175,0.027163758873939514,0.2003575563430786,0.003120670715967814,0.00279193123181661,-0.0002622101455926895
airlight_bin,A>=0.95,2,34.05257265832424,31.907778736943172,31.39800517616876,-2.144793921381069,-2.65456748215548,-0.5097735607744109,-0.5097735607744109,0,2,0,2,1,1,-0.018921256065368652,0.06316762417554855,0.21711435914039612,0.14447426795959473,-0.002022102475166321,-0.003450937569141388,-0.0012685530818998814
beta_bin,0.8<=beta<1.1,2,37.41683015643404,36.187885633514995,37.33449816038812,-1.2289445229190399,-0.08233199604591235,1.1466125268731275,1.1466125268731275,1,1,1,1,1,1,0.10705673694610596,0.32590262591838837,0.4729975536465645,-0.33599352836608887,-0.0036692023277282715,-0.007363848388195038,-0.0021408391185104847
