group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,513,487,414,410,32.22531544406323,32.2105193952809,-0.014796048782325101,0.04348284462846763,-1.8711509291884951,1.8057623337436375,-11.247886963170192,6.371290617120266,1.4599263668060303e-05
baseline_strength_bin,baseline_middle_50,500,250,250,218,210,32.32675637255345,32.279841198795985,-0.04691517375745721,0.013077061327054551,-2.2024359301758634,1.9485138924496337,-11.247886963170192,5.218244276953364,-0.00024045896530151367
baseline_strength_bin,baseline_strongest_25,250,123,127,86,108,38.608997852133776,38.43005768193843,-0.1789401701953449,-0.016777412141394166,-1.9848986096667425,1.3458257224901031,-4.445411310743488,3.7398905697910934,-7.475709915161132e-05
baseline_strength_bin,baseline_weakest_25,250,140,110,110,92,25.63875117901223,25.852337501593198,0.2135863225809588,0.1460622308495445,-1.4532925233003333,1.9359258530481032,-4.148711227932758,6.371290617120266,0.0006140720844268799
airlight_bin,0.65<=A<0.75,194,102,92,78,82,32.504103266735704,32.507726963368064,0.0036236966323628084,0.06099146672634248,-1.714424483776457,1.7900629777001493,-4.445411310743488,4.8508390931855985,1.546525463615496e-05
airlight_bin,0.75<=A<0.85,210,95,115,77,88,32.47633909288157,32.35585146199712,-0.1204876308844455,-0.14577013983431897,-1.7972276381245518,1.4710135936925124,-4.455968151679716,4.176547163155675,-0.0006952044509706043
airlight_bin,0.85<=A<0.95,175,90,85,72,72,31.355858607127043,31.41511695989448,0.05925835276744471,0.04069320294927081,-1.7048703444804956,1.7113726501238784,-3.667039481270873,4.280082206087229,0.00020587410245622906
airlight_bin,A<0.65,295,151,144,125,125,33.24366982308868,33.17084910336194,-0.07282071972674038,0.040716552661422156,-2.6616882713877303,2.0960245400215394,-11.247886963170192,6.371290617120266,0.0004424056764376366
airlight_bin,A>=0.95,126,75,51,62,43,30.20103449803951,30.36702860233963,0.1659941043001242,0.2794929673557647,-1.445297736494794,1.7751645327159178,-3.543708774539091,4.224717557218838,-7.099764687674386e-05
beta_bin,0.8<=beta<1.1,188,98,90,81,73,32.65975140876184,32.70377885692983,0.044027448167989786,0.06903118031036293,-1.7159243088464924,1.8590222324556522,-5.460540748391125,5.218244276953364,0.00036108430395735073
beta_bin,1.1<=beta<1.4,199,105,94,85,82,32.17733164002691,32.05395750951193,-0.12337413051497248,0.11855982863217207,-2.0369116811492076,1.5702495908887735,-5.662731209929497,4.115991462530232,-0.00020107372322274213
beta_bin,1.4<=beta<1.7,199,94,105,68,85,31.235306798898414,31.159272648557934,-0.07603415034047606,-0.13143747749132118,-1.7398135589503758,1.5014768054643013,-4.243934490673208,4.8508390931855985,-0.00016788651595762627
beta_bin,beta<0.8,196,102,94,85,78,35.11254148945979,35.20922612861275,0.09668463915295437,0.05387407233712693,-1.8605715839644006,2.221565359421332,-4.445411310743488,4.287792858262527,9.842186558003328e-05
beta_bin,beta>=1.7,218,114,104,95,92,30.202334852916245,30.191595630798574,-0.010739222117669672,0.11112364675768838,-1.8444488837527955,1.8093830082462143,-11.247886963170192,6.371290617120266,3.889066363693378e-06
