group,value,n,lfv1_mean_delta_vs_cr,lfv1_worse_030_vs_cr,rescalib_mean_delta_vs_cr,rescalib_worse_030_vs_cr,crplusv2_mean_delta_vs_cr,crplusv2_worse_030_vs_cr,lfcr_v1_w005_mean_delta_vs_cr,lfcr_v1_w005_worse_030_vs_cr,winner_counts
airlight_bin,0.65<=A<0.75,194,0.21987768642337452,68,0.3547384682750402,71,0.20398871973625884,65,0.00362369663236279,82,"{""cr"": 33, ""crplusv2"": 31, ""lfcr_v1_w005"": 32, ""lfv1"": 44, ""rescalib"": 54}"
airlight_bin,0.75<=A<0.85,210,0.07687369739468619,83,0.03051278206330134,81,-0.009518457362538953,86,-0.12048763088444549,88,"{""cr"": 46, ""crplusv2"": 31, ""lfcr_v1_w005"": 34, ""lfv1"": 46, ""rescalib"": 53}"
airlight_bin,0.85<=A<0.95,175,0.13356019155896862,66,0.16470147359196138,62,0.04730774767472724,67,0.05925835276744471,72,"{""cr"": 39, ""crplusv2"": 28, ""lfcr_v1_w005"": 35, ""lfv1"": 36, ""rescalib"": 37}"
airlight_bin,A<0.65,295,0.3517347290424155,91,0.12486662303722022,120,0.2563813743689606,95,-0.07282071972674026,125,"{""cr"": 53, ""crplusv2"": 60, ""lfcr_v1_w005"": 54, ""lfv1"": 56, ""rescalib"": 72}"
airlight_bin,A>=0.95,126,0.13511515608511757,43,0.21708198622794775,45,0.14394963546639256,46,0.1659941043001242,43,"{""cr"": 16, ""crplusv2"": 26, ""lfcr_v1_w005"": 28, ""lfv1"": 22, ""rescalib"": 34}"
beta_bin,0.8<=beta<1.1,188,0.1319145529702632,69,0.12628942101057683,66,0.206929118637082,53,0.04402744816798978,73,"{""cr"": 34, ""crplusv2"": 33, ""lfcr_v1_w005"": 33, ""lfv1"": 38, ""rescalib"": 50}"
beta_bin,1.1<=beta<1.4,199,0.09065307024159061,72,0.06732457220195431,78,-0.04816437621302543,86,-0.12337413051497248,82,"{""cr"": 40, ""crplusv2"": 26, ""lfcr_v1_w005"": 38, ""lfv1"": 41, ""rescalib"": 54}"
beta_bin,1.4<=beta<1.7,199,0.1332233335984894,85,0.2510137947685326,67,0.10278432095272956,74,-0.07603415034047606,85,"{""cr"": 41, ""crplusv2"": 34, ""lfcr_v1_w005"": 31, ""lfv1"": 37, ""rescalib"": 56}"
beta_bin,beta<0.8,196,0.27530372219796917,63,0.1956791647248893,81,0.31552741934843886,78,0.09668463915295437,78,"{""cr"": 38, ""crplusv2"": 39, ""lfcr_v1_w005"": 43, ""lfv1"": 40, ""rescalib"": 36}"
beta_bin,beta>=1.7,218,0.36535855964535896,62,0.19629736951721113,87,0.12847951116569079,68,-0.010739222117669641,92,"{""cr"": 34, ""crplusv2"": 44, ""lfcr_v1_w005"": 38, ""lfv1"": 48, ""rescalib"": 54}"
cr_strength_bin,middle_50,500,0.1858891381387332,181,0.07729988369865214,205,0.010105024735159411,200,-0.04691517375745714,210,"{""cr"": 91, ""crplusv2"": 77, ""lfcr_v1_w005"": 98, ""lfv1"": 109, ""rescalib"": 125}"
cr_strength_bin,strongest_25,250,-0.052003885342475485,100,-0.11705884251204407,110,0.09207545722199029,92,-0.1789401701953449,108,"{""cr"": 66, ""crplusv2"": 48, ""lfcr_v1_w005"": 42, ""lfv1"": 39, ""rescalib"": 55}"
cr_strength_bin,weakest_25,250,0.49206175256931173,70,0.6354098311865223,64,0.4462102970412398,67,0.2135863225809589,92,"{""cr"": 30, ""crplusv2"": 51, ""lfcr_v1_w005"": 43, ""lfv1"": 56, ""rescalib"": 70}"
