baseline,current,mean_delta_psnr,median_delta_psnr,better_count,worse_count,better_030_count,worse_030_count,better_100_count,worse_100_count
cr,lfv1,0.2029590358760756,0.15673637364909077,549,451,453,351,274,172
cr,rescalib,0.1682376890179455,0.20097797019212038,547,453,469,379,300,222
cr,crplusv2,0.1396239509333872,0.15594111810923295,552,448,457,359,274,191
cr,lfcr_v1_w005,-0.014796048782325138,0.04348284462846763,513,487,414,410,243,237
lfv1,cr,-0.2029590358760756,-0.15673637364909077,451,549,351,453,172,274
lfv1,rescalib,-0.034721346858129956,0.027147258142282027,509,491,414,386,227,221
lfv1,crplusv2,-0.06333508494268839,-0.029592846816445473,488,512,401,411,212,210
lfv1,lfcr_v1_w005,-0.21775508465840063,-0.09852649875028874,461,539,362,438,171,260
rescalib,cr,-0.1682376890179455,-0.20097797019212038,453,547,379,469,222,300
rescalib,lfv1,0.034721346858129956,-0.027147258142282027,491,509,386,414,221,227
rescalib,crplusv2,-0.028613738084558554,-0.12349004833372135,461,539,361,441,194,216
rescalib,lfcr_v1_w005,-0.18303373780027046,-0.1144628225563693,474,526,380,448,209,286
crplusv2,cr,-0.1396239509333872,-0.15594111810923295,448,552,359,457,191,274
crplusv2,lfv1,0.06333508494268839,0.029592846816445473,512,488,411,401,210,212
crplusv2,rescalib,0.028613738084558554,0.12349004833372135,539,461,441,361,216,194
crplusv2,lfcr_v1_w005,-0.15441999971571235,-0.12183253772803582,462,538,377,438,190,257
lfcr_v1_w005,cr,0.014796048782325138,-0.04348284462846763,487,513,410,414,237,243
lfcr_v1_w005,lfv1,0.21775508465840063,0.09852649875028874,539,461,438,362,260,171
lfcr_v1_w005,rescalib,0.18303373780027046,0.1144628225563693,526,474,448,380,286,209
lfcr_v1_w005,crplusv2,0.15441999971571235,0.12183253772803582,538,462,438,377,257,190
