eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,mean_oracle_gated_gain,bootstrap_gain_p05,official_psnr,sim_psnr,sim_delta_vs_official,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,eligible_for_pass,split_family,split,train_n,valid_n
250,237,13,0.856,0.6732673267326733,99,0.6666666666666666,61,0.7868852459016393,33,0.6666666666666666,59,0.864406779661017,0.7112310897892641,0.578192903597938,33.84071671144422,34.55194780123349,0.7112310897892641,0.9260052396667586,0.5092833297701208,A_official_output,hgb,0.15,0.05,2388,2374,697,1,random,random_1,750,250
250,230,20,0.86,0.6130653266331658,102,0.7549019607843137,52,0.7115384615384616,19,0.5263157894736842,66,0.803030303030303,0.5229658553303592,0.39499866129621175,34.29031846921945,34.813284324549805,0.5229658553303592,0.8709972448364633,0.4229767348355348,A_official_output,hgb,0.15,0.05,2388,2374,704,1,random,random_2,750,250
250,234,16,0.828,0.654639175257732,105,0.638095238095238,65,0.676923076923077,34,0.5,60,0.7833333333333333,0.6957014798794049,0.5694134475466455,34.13535826605321,34.831059745932606,0.6957014798794049,0.9377968159171072,0.4927537030552383,A_official_output,hgb,0.15,0.05,2388,2374,700,1,random,random_3,750,250
250,236,14,0.816,0.44041450777202074,142,0.7605633802816901,0,0.0,0,0.0,36,0.8333333333333334,0.1627743099715886,0.10265356517432213,36.55675585116884,36.71953016114043,0.1627743099715886,0.5868967680987143,0.3990406734104346,A_official_output,hgb,0.15,0.05,2388,2374,698,1,official_strength_bin,official_strength_bin=midhigh_official_q3,750,250
250,233,17,0.972,0.62882096069869,88,0.9659090909090909,0,0.0,0,0.0,43,0.9767441860465116,0.6949036019982857,0.5714702825186351,32.06365707295534,32.75856067495363,0.6949036019982857,0.8968176235327205,0.2393860397036643,A_official_output,hgb,0.15,0.05,2388,2374,701,1,official_strength_bin,official_strength_bin=midlow_official_q2,750,250
250,222,28,0.856,0.48947368421052634,125,0.776,250,0.856,125,0.776,152,0.8947368421052632,0.1074978355874729,0.06472345298615294,41.996655378489706,42.10415321407717,0.1074978355874729,0.5278706551878656,0.26925576595968304,A_official_output,hgb,0.15,0.05,2388,2374,712,1,official_strength_bin,official_strength_bin=strong_official_q4,750,250
250,243,7,0.992,0.7727272727272727,56,0.9821428571428571,0,0.0,0,0.0,19,1.0,1.2904365761080658,1.1281009021261028,26.405403926308217,27.695840502416285,1.2904365761080658,0.9718067907497594,0.22598873288137905,A_official_output,hgb,0.15,0.05,2388,2374,691,1,official_strength_bin,official_strength_bin=weak_official_q1,750,250
250,239,11,0.724,0.6514285714285715,114,0.5350877192982456,38,0.6052631578947368,23,0.4782608695652174,36,0.8611111111111112,0.6353355034574858,0.4898397183139399,36.034125584802794,36.66946108826027,0.6353355034574858,0.8866004224966461,0.48642207421611616,A_official_output,hgb,0.15,0.05,2388,2374,695,1,cr_strength_bin,cr_strength_bin=midhigh_cr_q3,750,250
250,241,9,0.932,0.6517857142857143,95,0.8210526315789474,1,1.0,1,1.0,35,1.0,0.7158895909718721,0.5837608660484745,32.400164474925866,33.11605406589774,0.7158895909718721,0.9137232828955467,0.3897545232458447,A_official_output,hgb,0.15,0.05,2388,2374,693,1,cr_strength_bin,cr_strength_bin=midlow_cr_q2,750,250
250,219,31,0.816,0.5568181818181818,114,0.6842105263157895,210,0.8,101,0.6732673267326733,162,0.8148148148148148,0.2377734566166335,0.173454172931894,41.507470099469764,41.74524355608639,0.2377734566166335,0.7562321928656958,0.4766833515269803,A_official_output,hgb,0.15,0.05,2388,2374,715,1,cr_strength_bin,cr_strength_bin=strong_cr_q4,750,250
250,235,15,0.976,0.6391304347826087,88,0.9431818181818182,1,1.0,0,0.0,17,1.0,0.7069987600030395,0.5716290547350088,27.08071206972368,27.787710829726723,0.7069987600030395,0.919113474691144,0.20747930877145307,A_official_output,hgb,0.15,0.05,2388,2374,699,1,cr_strength_bin,cr_strength_bin=weak_cr_q1,750,250
194,182,12,0.8556701030927835,0.6,85,0.7294117647058823,53,0.7924528301886793,27,0.6666666666666666,56,0.8392857142857143,0.5007958950470128,0.3767106118166233,34.71798953204058,35.218785427087596,0.5007958950470128,0.8675864485689956,0.40222045072610096,A_official_output,hgb,0.15,0.05,2388,2374,752,1,airlight_bin,airlight_bin=0.65<=A<0.75,806,194
210,196,14,0.780952380952381,0.7207792207792207,78,0.5512820512820513,57,0.6666666666666666,24,0.5,54,0.8148148148148148,0.5434055406466695,0.4480504602688555,34.29958402571659,34.842989566363265,0.5434055406466695,0.9049910262707361,0.5734642084337968,A_official_output,hgb,0.15,0.05,2388,2374,738,1,airlight_bin,airlight_bin=0.75<=A<0.85,790,210
175,159,16,0.84,0.5851851851851851,78,0.717948717948718,25,0.84,14,0.8571428571428571,32,0.875,0.5015534817579939,0.3798909011291229,33.36342088468563,33.864974366443626,0.5015534817579939,0.898150783012616,0.4936199670505056,A_official_output,hgb,0.15,0.05,2388,2374,775,1,airlight_bin,airlight_bin=0.85<=A<0.95,825,175
295,277,18,0.8033898305084746,0.6696428571428571,113,0.6548672566371682,102,0.6764705882352942,53,0.5471698113207547,94,0.7340425531914894,0.7512392506668311,0.6200559722211815,35.33099180379889,36.082231054465716,0.7512392506668311,0.8927388574481057,0.4333560682653254,A_official_output,hgb,0.15,0.05,2388,2374,657,1,airlight_bin,airlight_bin=A<0.65,705,295
126,120,6,0.9206349206349206,0.5727272727272728,57,0.8245614035087719,13,1.0,7,1.0,14,1.0,0.4211564512181023,0.28511870829172337,32.191858775186596,32.6130152264047,0.4211564512181023,0.8574903732636363,0.3224998320024775,A_official_output,hgb,0.15,0.05,2388,2374,814,1,airlight_bin,airlight_bin=A>=0.95,874,126
188,176,12,0.8138297872340425,0.5734265734265734,91,0.6703296703296703,56,0.7321428571428571,34,0.6470588235294118,60,0.8666666666666667,0.4641566341676212,0.3396376321061082,34.817413776827486,35.28157041099511,0.4641566341676212,0.8646896284250855,0.4816813589027998,A_official_output,hgb,0.15,0.05,2388,2374,758,1,beta_bin,beta_bin=0.8<=beta<1.1,812,188
199,180,19,0.8241206030150754,0.7019867549668874,72,0.625,50,0.72,26,0.5769230769230769,45,0.8444444444444444,0.7278349354239543,0.5820334191382946,33.93655153577519,34.664386471199144,0.7278349354239543,0.936480870798394,0.5132745578439163,A_official_output,hgb,0.15,0.05,2388,2374,754,1,beta_bin,beta_bin=1.1<=beta<1.4,801,199
199,188,11,0.8592964824120602,0.6234567901234568,86,0.7093023255813954,32,0.875,14,0.7857142857142857,28,0.9285714285714286,0.5132247059669354,0.3873804298568716,33.177425613676775,33.690650319643716,0.5132247059669354,0.8958545801974345,0.4895751539711084,A_official_output,hgb,0.15,0.05,2388,2374,746,1,beta_bin,beta_bin=1.4<=beta<1.7,801,199
196,188,8,0.826530612244898,0.6709677419354839,74,0.6891891891891891,89,0.651685393258427,39,0.48717948717948717,108,0.7777777777777778,0.6959599655891789,0.5408466557560936,37.25265986824386,37.94861983383304,0.6959599655891789,0.9037698464696334,0.3932030314579608,A_official_output,hgb,0.15,0.05,2388,2374,746,1,beta_bin,beta_bin=beta<0.8,804,196
218,202,16,0.8715596330275229,0.6228571428571429,88,0.75,23,0.9130434782608695,12,0.8333333333333334,9,1.0,0.5062661918368708,0.3863499369130151,32.352025138854216,32.85829133069108,0.5062661918368708,0.8800195780553194,0.3876712954649473,A_official_output,hgb,0.15,0.05,2388,2374,732,1,beta_bin,beta_bin=beta>=1.7,782,218
