target_margin,feature_set,head,split_family,split_group,splits,eligible_for_pass,intervention_precision_mean,intervention_precision_std,nochange_false_intervention_rate_mean,nochange_false_intervention_rate_std,strong_nochange_false_intervention_rate_mean,strong_nochange_false_intervention_rate_std,residual_low_false_intervention_rate_mean,residual_low_false_intervention_rate_std,mean_oracle_gated_gain_mean,mean_oracle_gated_gain_std,bootstrap_gain_p05_mean,bootstrap_gain_p05_std,oracle_recovery_mean,oracle_recovery_std,confidence_corr_mean,confidence_corr_std,intervention_rate_mean,intervention_rate_std,labeled_n_mean,labeled_n_std,ignored_n_mean,ignored_n_std,sim_delta_vs_official_mean,sim_delta_vs_official_std,precision_gap_vs_shuffled,passes_line
0.15,A_official_output,hgb,airlight_bin,airlight_bin=0.65<=A<0.75,1,1,0.6,0.0,0.7294117647058823,0.0,0.6666666666666666,0.0,0.8392857142857143,0.0,0.5007958950470128,0.0,0.3767106118166233,0.0,0.8675864485689956,0.0,0.40222045072610096,0.0,0.8556701030927835,0.0,182.0,0.0,12.0,0.0,0.5007958950470128,0.0,0.038596491228070184,False
0.15,A_official_output,hgb,airlight_bin,airlight_bin=0.75<=A<0.85,1,1,0.7207792207792207,0.0,0.5512820512820513,0.0,0.5,0.0,0.8148148148148148,0.0,0.5434055406466695,0.0,0.4480504602688555,0.0,0.9049910262707361,0.0,0.5734642084337968,0.0,0.780952380952381,0.0,196.0,0.0,14.0,0.0,0.5434055406466695,0.0,0.050120538144490245,False
0.15,A_official_output,hgb,airlight_bin,airlight_bin=0.85<=A<0.95,1,1,0.5851851851851851,0.0,0.717948717948718,0.0,0.8571428571428571,0.0,0.875,0.0,0.5015534817579939,0.0,0.3798909011291229,0.0,0.898150783012616,0.0,0.4936199670505056,0.0,0.84,0.0,159.0,0.0,16.0,0.0,0.5015534817579939,0.0,0.033461047254150666,False
0.15,A_official_output,hgb,airlight_bin,airlight_bin=A<0.65,1,1,0.6696428571428571,0.0,0.6548672566371682,0.0,0.5471698113207547,0.0,0.7340425531914894,0.0,0.7512392506668311,0.0,0.6200559722211815,0.0,0.8927388574481057,0.0,0.4333560682653254,0.0,0.8033898305084746,0.0,277.0,0.0,18.0,0.0,0.7512392506668311,0.0,0.036578341013824844,False
0.15,A_official_output,hgb,airlight_bin,airlight_bin=A>=0.95,1,1,0.5727272727272728,0.0,0.8245614035087719,0.0,1.0,0.0,1.0,0.0,0.4211564512181023,0.0,0.28511870829172337,0.0,0.8574903732636363,0.0,0.3224998320024775,0.0,0.9206349206349206,0.0,120.0,0.0,6.0,0.0,0.4211564512181023,0.0,0.02405470635559137,False
0.15,A_official_output,hgb,beta_bin,beta_bin=0.8<=beta<1.1,1,1,0.5734265734265734,0.0,0.6703296703296703,0.0,0.6470588235294118,0.0,0.8666666666666667,0.0,0.4641566341676212,0.0,0.3396376321061082,0.0,0.8646896284250855,0.0,0.4816813589027998,0.0,0.8138297872340425,0.0,176.0,0.0,12.0,0.0,0.4641566341676212,0.0,0.06717657342657346,False
0.15,A_official_output,hgb,beta_bin,beta_bin=1.1<=beta<1.4,1,1,0.7019867549668874,0.0,0.625,0.0,0.5769230769230769,0.0,0.8444444444444444,0.0,0.7278349354239543,0.0,0.5820334191382946,0.0,0.936480870798394,0.0,0.5132745578439163,0.0,0.8241206030150754,0.0,180.0,0.0,19.0,0.0,0.7278349354239543,0.0,0.04766576731256644,False
0.15,A_official_output,hgb,beta_bin,beta_bin=1.4<=beta<1.7,1,1,0.6234567901234568,0.0,0.7093023255813954,0.0,0.7857142857142857,0.0,0.9285714285714286,0.0,0.5132247059669354,0.0,0.3873804298568716,0.0,0.8958545801974345,0.0,0.4895751539711084,0.0,0.8592964824120602,0.0,188.0,0.0,11.0,0.0,0.5132247059669354,0.0,0.046313932980599604,False
0.15,A_official_output,hgb,beta_bin,beta_bin=beta<0.8,1,1,0.6709677419354839,0.0,0.6891891891891891,0.0,0.48717948717948717,0.0,0.7777777777777778,0.0,0.6959599655891789,0.0,0.5408466557560936,0.0,0.9037698464696334,0.0,0.3932030314579608,0.0,0.826530612244898,0.0,188.0,0.0,8.0,0.0,0.6959599655891789,0.0,0.024626278520849754,False
0.15,A_official_output,hgb,beta_bin,beta_bin=beta>=1.7,1,1,0.6228571428571429,0.0,0.75,0.0,0.8333333333333334,0.0,1.0,0.0,0.5062661918368708,0.0,0.3863499369130151,0.0,0.8800195780553194,0.0,0.3876712954649473,0.0,0.8715596330275229,0.0,202.0,0.0,16.0,0.0,0.5062661918368708,0.0,0.007037933817594877,False
