airlight,airlight_bin,beta,beta_bin,cbrfrc_delta_cr_psnr,cbrfrc_psnr,cr_psnr,cr_strength_bin,crplus_delta_cr_psnr,crplus_psnr,diag_lfv1_target_residual_cosine_lf8,diag_target_residual_norm_lf8,diag_target_sign_flip_rate,filename,label_ignore,label_intervene,label_max_candidate_delta_psnr,label_min_candidate_delta_psnr,label_preserve,label_safe_candidate_count,label_safe_candidates,lfv1_delta_cr_psnr,lfv1_psnr,residualcalib_delta_cr_psnr,residualcalib_psnr,risk_lfv1_residual_norm_lf8
0.73,0.65<=A<0.75,1.8,beta>=1.7,0.0005222248130074547,29.27729329497826,29.276771070165253,midlow_cr_q2,0.08333567071667858,29.359880320294735,-0.003842828329652548,31.97842025756836,0.022639568895101547,1000_0.73_1.8.png,0,0,0.6272693292432514,-0.5711988110722785,1,1,residualcalib,-0.5711988110722785,28.705572259092975,0.6272693292432514,29.904040399408505,12.055042266845703
0.5,A<0.65,1.76,beta>=1.7,-0.007978407060697634,30.756709140683014,30.764687547743712,midlow_cr_q2,-3.2752155401154326,27.488300381167555,0.6694784164428711,18.88788604736328,0.025106217712163925,100_0.5_1.76.png,0,0,2.244704771820743,-3.2752155401154326,1,1,lfv1,2.244704771820743,33.009392319564455,-1.042369970645236,29.722317577098476,11.648770332336426
0.83,0.75<=A<0.85,1.44,1.4<=beta<1.7,0.007516817663105968,24.828627601731203,24.821110784068097,weak_cr_q1,0.47120966250550467,25.291283394951513,0.5965500473976135,39.249488830566406,0.001979418157134205,101_0.83_1.44.png,0,1,1.2285363693048126,0.007516817663105968,0,2,"lfv1,crplus",1.2285363693048126,26.04964715337291,0.0597269762970285,24.880837760365125,10.822019577026367
0.67,0.65<=A<0.75,1.36,1.1<=beta<1.4,0.007616489587633168,25.444286557279923,25.43667006769229,weak_cr_q1,-0.21043209528377105,25.22598198581352,0.041688885539770126,36.568870544433594,0.0012672061857301742,102_0.67_1.36.png,0,0,0.007616489587633168,-0.5708337160716539,1,0,,-0.04811327273171173,25.38855679496058,-0.5708337160716539,24.865836351620636,5.9821085929870605
0.94,0.85<=A<0.95,0.98,0.8<=beta<1.1,0.008126465263252669,28.309597319305034,28.30147085404178,weak_cr_q1,-0.667254294163147,27.634688453623532,0.08154688775539398,25.895803451538086,0.008099074242636561,103_0.94_0.98.png,0,0,0.008126465263252669,-1.0947383533404675,1,0,,-0.06980418719830439,28.231666666843477,-1.0947383533404675,27.206732500701314,5.963132858276367
0.91,0.85<=A<0.95,1.41,1.4<=beta<1.7,0.007156959020434783,25.3751355663403,25.367978607319866,weak_cr_q1,0.5397417210448623,25.908038443558404,0.6144148707389832,36.64297866821289,0.003186328161973506,104_0.91_1.41.png,0,1,1.4229966509815348,-0.09654160382018873,0,2,"lfv1,crplus",1.4229966509815348,26.7909752583014,-0.09654160382018873,25.271437003499678,11.740856170654297
0.84,0.75<=A<0.85,0.8,0.8<=beta<1.1,-0.00480383645371063,25.76946532803418,25.77426916448789,weak_cr_q1,-0.14859492965844723,25.62552022490346,-0.36169204115867615,35.27921676635742,0.005975141888484359,105_0.84_0.8.png,0,0,0.25105315251033034,-0.8053007214117862,1,0,,-0.8053007214117862,24.968968443076104,0.25105315251033034,26.02532231699822,7.854951858520508
0.59,A<0.65,1.07,0.8<=beta<1.1,-0.007384527668829577,28.46033124546572,28.46771577313455,weak_cr_q1,-0.1488496025916497,28.320265828745175,-0.14763858914375305,25.4650821685791,0.010297384578734636,106_0.59_1.07.png,0,0,-0.007384527668829577,-0.48418179205993184,1,0,,-0.48418179205993184,27.98353398107462,-0.4115714104490671,28.056144362685483,6.119981288909912
0.89,0.85<=A<0.95,1.5,1.4<=beta<1.7,-0.0045815827339410475,27.874645304944575,27.879226887678517,weak_cr_q1,-1.1287415269589083,26.74885683351578,-0.5918140411376953,27.375240325927734,0.01377834938466549,107_0.89_1.5.png,0,0,-0.0045815827339410475,-4.020110190208776,1,0,,-4.020110190208776,23.85911669746974,-0.3307684972122864,27.54845839046623,22.01070213317871
0.73,0.65<=A<0.75,1.27,1.1<=beta<1.4,-0.004878408743497431,27.24240038326185,27.247278792005346,weak_cr_q1,-0.34930157623507796,26.89715111743969,-0.5511878132820129,29.565813064575195,0.01367376884445548,108_0.73_1.27.png,0,0,0.0478634496390562,-2.0097994254884384,1,0,,-2.0097994254884384,25.237479366516908,0.0478634496390562,27.295142241644403,12.033426284790039
0.74,0.65<=A<0.75,1.74,beta>=1.7,-0.0066113836533254755,28.092279358607666,28.09889074226099,weak_cr_q1,0.5478575198794076,28.646033288291846,-0.3742014765739441,26.87095069885254,0.017112629488110542,109_0.74_1.74.png,0,0,0.5478575198794076,-1.627625744927343,1,2,"residualcalib,crplus",-1.627625744927343,26.47126499733365,0.38126434798531506,28.480155090246306,10.963576316833496
0.6,A<0.65,1.67,1.4<=beta<1.7,-0.009970510576891911,31.121811020763076,31.131781531339968,midlow_cr_q2,-0.9320077821406514,30.201519336286427,0.000608911388553679,18.41457748413086,0.01946292258799076,10_0.6_1.67.png,0,0,-0.009970510576891911,-1.7722903707656066,1,0,,-0.5827212775621149,30.549060253777853,-1.7722903707656066,29.35949116057436,7.230221748352051
0.68,0.65<=A<0.75,1.22,1.1<=beta<1.4,-0.009446132866997914,28.084695877874445,28.094142010741443,weak_cr_q1,-0.4696059303294575,27.623150829894257,-0.18580828607082367,27.00967025756836,0.00972990458831191,110_0.68_1.22.png,0,0,0.697578341388212,-0.4696059303294575,1,1,residualcalib,-0.4378049693513759,27.656337041390067,0.697578341388212,28.791720352129655,5.272454261779785
0.98,A>=0.95,0.89,0.8<=beta<1.1,-0.0002466749416534242,26.92683051468965,26.927077189631305,weak_cr_q1,1.5913416383926915,28.5166077130331,0.5226194858551025,30.988269805908203,0.004185935249552131,111_0.98_0.89.png,0,1,1.6439320186799513,-0.0002466749416534242,0,1,crplus,0.9965441866306328,27.923621376261938,1.6439320186799513,28.571009208311256,8.192838668823242
0.54,A<0.65,0.98,0.8<=beta<1.1,-0.010585085558005858,26.014540855353438,26.025125940911444,weak_cr_q1,-0.6090704045457151,25.41466374760457,0.11165948212146759,34.42525863647461,0.002744597615674138,112_0.54_0.98.png,0,0,0.9521910756921308,-0.6090704045457151,1,1,residualcalib,0.04534714935283546,26.07047309026428,0.9521910756921308,26.977317016603575,5.645791530609131
0.71,0.65<=A<0.75,1.48,1.4<=beta<1.7,-0.005432232003425241,30.886809250754954,30.89224148275838,midlow_cr_q2,1.8208300535458868,32.710479139591264,0.5246236324310303,18.291187286376953,0.035031105391681194,113_0.71_1.48.png,0,1,1.8208300535458868,-0.005432232003425241,0,3,"lfv1,residualcalib,crplus",1.190631512860925,32.082872995619304,1.1651852449078177,32.0574267276662,10.136444091796875
