eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,intervention_recall,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,official_preserve_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,low_residual_preserve_rate,simulated_mean_psnr_gain,bootstrap_gain_p05,official_psnr,sim_psnr,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,split_family,split,train_n,valid_n,control
250,233,17,0.6,0.8248175182481752,0.8432835820895522,99,0.24242424242424243,61,0.4426229508196721,0.5573770491803278,33,0.18181818181818182,59,0.5932203389830508,0.4067796610169492,0.6803027103101411,0.5494761827694968,33.84071671144422,34.52101942175436,0.8857372566395323,0.4528523909095757,C0_deployable,logistic,0.2,0.125,11308,11280,671,random,random_1,750,250,real
250,219,31,0.648,0.678082191780822,0.8461538461538461,102,0.46078431372549017,52,0.4807692307692308,0.5192307692307692,19,0.3684210526315789,66,0.6666666666666666,0.33333333333333337,0.5156912783716365,0.4014190159218044,34.29031846921945,34.806009747591084,0.8588814701184452,0.4098217926479224,C0_deployable,logistic,0.2,0.125,11308,11280,685,random,random_2,750,250,real
250,227,23,0.596,0.7647058823529411,0.8524590163934426,105,0.3047619047619048,65,0.47692307692307695,0.523076923076923,34,0.20588235294117646,60,0.5833333333333334,0.41666666666666663,0.6385714995328865,0.5082804480162062,34.13535826605321,34.7739297655861,0.860786323325286,0.44208625084693864,C0_deployable,logistic,0.2,0.15,11308,11280,677,random,random_3,750,250,real
250,210,40,0.336,0.5735294117647058,0.4588235294117647,125,0.232,250,0.336,0.6639999999999999,125,0.232,152,0.34210526315789475,0.6578947368421053,0.06250834680970954,0.030996852539310144,41.996655378489706,42.05916372529941,0.30694871022125847,0.15972762898575502,C0_deployable,logistic,0.2,0.1,11308,11280,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.42,0.6091954022988506,0.5638297872340425,114,0.2982456140350877,210,0.38095238095238093,0.6190476190476191,101,0.3069306930693069,162,0.41975308641975306,0.5802469135802469,0.1895359455278558,0.1314929095664225,41.507470099469764,41.697006044997615,0.6028140640799203,0.35631398064703207,C0_deployable,logistic,0.2,0.125,11308,11280,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.548,0.675,0.6585365853658537,94,0.4148936170212766,152,0.48026315789473684,0.5197368421052632,68,0.39705882352941174,250,0.548,0.45199999999999996,0.2678678595087853,0.20638342513980443,38.83344644305326,39.10131430256205,0.6235536601936936,0.23026543804835914,C0_deployable,logistic,0.2,0.15,11308,11280,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.16,0.8157894736842105,0.23134328358208955,99,0.0707070707070707,61,0.01639344262295082,0.9836065573770492,33,0.030303030303030304,59,0.0847457627118644,0.9152542372881356,0.25418922598337224,0.16490015579950099,33.84071671144422,34.09490593742759,0.3309480680845703,0.3534317079515539,C0_deployable,decision_tree,0.2,0.7,11308,11280,671,random,random_1,750,250,real
250,219,31,0.028,0.4,0.017094017094017096,102,0.029411764705882353,52,0.09615384615384616,0.9038461538461539,19,0.10526315789473684,66,0.09090909090909091,0.9090909090909091,0.0007156937664913698,-0.007730074606958241,34.29031846921945,34.29103416298593,0.0011919847011174966,0.12280935906801914,C0_deployable,decision_tree,0.2,0.775,11308,11280,685,random,random_2,750,250,real
250,227,23,0.032,0.75,0.04918032786885246,105,0.01904761904761905,65,0.015384615384615385,0.9846153846153847,34,0.029411764705882353,60,0.0,1.0,0.03062882271586801,0.004612190821348375,34.13535826605321,34.16598708876908,0.04128726652013105,0.3563552065262746,C0_deployable,decision_tree,0.2,0.875,11308,11280,677,random,random_3,750,250,real
250,210,40,0.0,0.0,0.0,125,0.0,250,0.0,1.0,125,0.0,152,0.0,1.0,0.0,0.0,41.996655378489706,41.996655378489706,0.0,-0.14713067684956654,C0_deployable,decision_tree,0.2,0.95,11308,11280,694,official_strength_heldout,test_strong_official,750,250,real
